,abs_param_0,abs_param_1,abs_param_2,abs_param_3,abs_param_4,abs_param_5,abs_param_6,abs_param_7,abs_param_8,abs_param_9,param_0_squared,param_1_squared,param_2_squared,param_3_squared,param_4_squared,param_5_squared,param_6_squared,param_7_squared,param_8_squared,param_9_squared,field_energy,surface_energy,param_0,real_group_sampling_width,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,param_9,complex_group_sampling_width
0,(0.26246980035592793+0j),(0.026360145639878162+0j),(0.04661118414073995+0j),(0.014049293205210549+0j),(0.14129191856417556+0j),(0.1712273275312998+0j),(0.047024121915249045+0j),(0.04787026248788483+0j),(0.06773860759652191+0j),(0.08324606398043942+0j),(0.06889039609888066+0j),(0.0006948572781555875+0j),(0.0021726024870019674+0j),(0.0001973826395659753+0j),(0.019963406251545614+0j),(0.029318797693511024+0j),(0.0022112680419002057+0j),(0.0022915620306589936+0j),(0.004588518959115575+0j),(0.006929907168235413+0j),0.04568347443268338,5.068313035623281,0.26246980035592793,0.6461237127971422,(-0.00043203612453795656+0.026356604920639567j),(-0.04528440178680491-0.011041985410839294j),(0.00046778640353015155+0.014041503318613988j),(-0.04517544698849759-0.1338752600032398j),(0.08526012968114113+0.14849076732331212j),(-0.04644434055804825+0.0073614721372997375j),(-0.018280949745964878+0.04424216209730827j),(0.025845737442347506+0.0626140304977791j),(0.0734318057838408-0.03921322567144531j),0.4053892468008617
1,(0.009006235520377326+0j),(0.0048536017506943955+0j),(0.07756698782725932+0j),(0.02644644918360347+0j),(0.0963168064590697+0j),(0.2446949519844892+0j),(0.11573185825735467+0j),(0.07086906339766837+0j),(0.12564245934629248+0j),(0.07907808517635692+0j),(8.111227824850625e-05+0j),(2.3557449954343704e-05+0j),(0.006016637600594196+0j),(0.0006994146744209206+0j),(0.009276927206473893+0j),(0.05987561952669147+0j),(0.013393863015700433+0j),(0.0050224241468627365+0j),(0.01578602759058476+0j),(0.006253343555159161+0j),-0.18462888384782555,5.026605570262632,0.009006235520377326,0.6302560473961663,(-0.0034683838986839617+0.0033952559676250545j),(-0.06500905371757096-0.04231383385301041j),(0.023946446087891954-0.011224187907399121j),(-0.01273951142042829-0.09547058214571999j),(0.1530514899543915+0.19092108565957894j),(-0.051563342279491664+0.10361025407105429j),(0.028130200789342228+0.06504702875930635j),(-0.06699268104329881+0.10629208943856354j),(0.051368730931994115-0.06012151892289109j),0.42585374399847553
2,(0.4507841450188825+0j),(0.030331741535995892+0j),(0.10696966626111186+0j),(0.07068487490320048+0j),(0.12886040929244852+0j),(0.33078682288528405+0j),(0.171376171194109+0j),(0.11554823495621687+0j),(0.04458033385054979+0j),(0.10466567964519774+0j),(0.20320634540040486+0j),(0.0009200145446064585+0j),(0.011442509500013654+0j),(0.004996351540081102+0j),(0.016605005083017356+0j),(0.10941992219454025+0j),(0.029369792053152557+0j),(0.013351394601497098+0j),(0.0019874061662264754+0j),(0.010954904495591162+0j),0.07666706979935148,5.117515614991209,-0.4507841450188825,0.6459163810540574,(-0.008988078040051688-0.028969449386420845j),(-0.00407514376200519-0.10689201421683775j),(-0.06744493459580768+0.021154960114552934j),(-0.05277861630171412-0.11755604086687248j),(0.1936335230903889+0.26819019543999756j),(-0.08969698436054337+0.14602822689390224j),(0.015500237037378326+0.11450387440293094j),(0.013740324271207603+0.042410018334687605j),(0.013537611009663851-0.10378650000718874j),0.436435176335429
3,(0.16151619209456664+0j),(0.07636864034241343+0j),(0.061192479589238624+0j),(0.05846990767815332+0j),(0.1363750419041259+0j),(0.3289129062543249+0j),(0.070838430346246+0j),(0.07927062080675942+0j),(0.10505806437586618+0j),(0.099001513046744+0j),(0.02608748030872895+0j),(0.005832169227748897+0j),(0.003744519558279386+0j),(0.003418730103891773+0j),(0.01859815205435209+0j),(0.10818369990066631+0j),(0.0050180832139199456+0j),(0.006283831323089039+0j),(0.011037196890403642+0j),(0.009801299585544621+0j),-0.17366503842442466,5.04394676295769,0.16151619209456664,0.6785229538092219,(-0.07581012888487017+0.009219196614036968j),(-0.03802392536341024-0.04794476674504938j),(0.05006565817313718+0.03020198628538122j),(-0.013340595487127658-0.13572096583211055j),(0.2042794335186623+0.2577859828267642j),(0.04506775692191625+0.05465327529020576j),(0.024545484768969568+0.07537473383399322j),(0.10504021825079586-0.0019363471354109114j),(-0.018884486312658124-0.09718372169376746j),0.4641650925386411
4,(0.04765656825852965+0j),(0.10894199941780394+0j),(0.06812746545354872+0j),(0.05350442455675272+0j),(0.2196223320057944+0j),(0.3198853294271118+0j),(0.12119965364628354+0j),(0.1181639050884208+0j),(0.1780035847728557+0j),(0.06802305571013306+0j),(0.002271148498179896+0j),(0.011868359237148792+0j),(0.004641351549124474+0j),(0.002862723447149244+0j),(0.04823396871566339+0j),(0.10232662398269182+0j),(0.014689356043979092+0j),(0.013962708465745318+0j),(0.03168527619198722+0j),(0.004627136108143866+0j),0.14648616889922422,5.0281455148391805,-0.04765656825852965,0.670085730146281,(-0.10887372108015839-0.0038564355704028865j),(-0.03339868253535502-0.05937911715432494j),(0.04515968534359732+0.028693662485234j),(-0.13457718508997737-0.17355964383727387j),(0.19302519963298592+0.25508409650414854j),(0.12019399201632144-0.015580767861679657j),(0.025062680536500653+0.11547541084607853j),(0.16488813126227186+0.0670610196822493j),(-0.031040895200553677-0.06052767080676498j),0.4756984689362687
5,(0.06724279225191261+0j),(0.1515428352247047+0j),(0.02200100951659496+0j),(0.08801500475304914+0j),(0.1890093818978318+0j),(0.3427421544811003+0j),(0.18459801158368122+0j),(0.06462169242901013+0j),(0.15367128764562524+0j),(0.05679743638813662+0j),(0.004521593109833879+0j),(0.022965230907941996+0j),(0.00048404441974930193+0j),(0.0077466410616792635+0j),(0.035724546445400435+0j),(0.11747218445834642+0j),(0.0340764258806489+0j),(0.004175963132389585+0j),(0.023614864646664492+0j),(0.003225948780264426+0j),0.09104855162798409,5.0297123049465835,0.06724279225191261,0.6617534207574096,(-0.14116638612117302-0.0551115445023081j),(-0.010170269733850549-0.019509229438653526j),(0.04500182152729963+0.07564044632935699j),(-0.15147353764118923-0.11305005015418464j),(0.2765011308922004+0.2025322420595809j),(0.18050100172442385-0.038675758003282094j),(0.024661764759333384-0.059730733222896966j),(0.1246476949829677+0.08987667540634524j),(-0.011538575677349902-0.0556130385035964j),0.49357768293828486
6,(0.1286515818781428+0j),(0.16470412867542042+0j),(0.01864534999497207+0j),(0.08440453185267904+0j),(0.09397488814466477+0j),(0.3961091188680957+0j),(0.14541920351382104+0j),(0.054527938936999296+0j),(0.1872888319365939+0j),(0.03435989075800231+0j),(0.01655122951974848+0j),(0.02712745000272944+0j),(0.0003476490764350049+0j),(0.0071241249972699115+0j),(0.008831279601802257+0j),(0.15690243405045917+0j),(0.021146744750594103+0j),(0.002973296124717124+0j),(0.03507710656817373+0j),(0.0011806020929018524+0j),-0.046897755284680764,5.03782380462376,-0.1286515818781428,0.6616472386936346,(-0.12617444715787557-0.10586528650664441j),(0.00021538118914897242+0.018644105968867633j),(0.08373844451279727+0.010582906398862467j),(-0.0401715534384991-0.08495602330700318j),(0.268989575080684+0.29076974145941015j),(0.1454188600689912-0.0003160487767051145j),(-0.029552986115818983+0.04582485282415356j),(0.060083553842948015+0.17738960828012246j),(0.02721529303549247-0.02097450638022567j),0.4934984856189153
7,(0.10260863094440549+0j),(0.11814372788483907+0j),(0.05101634980029573+0j),(0.12193824129164874+0j),(0.09896451699718081+0j),(0.47789331394692586+0j),(0.1580678135606705+0j),(0.08827271218591018+0j),(0.1818420225054112+0j),(0.04067718392132703+0j),(0.010528531144285208+0j),(0.013957940438526903+0j),(0.002602667946946134+0j),(0.01486893468930035+0j),(0.00979397562448529+0j),(0.22838201951517506+0j),(0.024985433683850894+0j),(0.007792071716656535+0j),(0.033066521148858476+0j),(0.0016546332917694662+0j),-0.3554856290633229,5.0338177533431425,0.10260863094440549,0.66154107366737,(-0.11219619462688264-0.03701289437173986j),(0.04494835288380751-0.0241311731993877j),(0.11033467907500391+0.051915250964588856j),(-0.0151493189193206-0.09779812759335428j),(0.29033503767883895+0.3795887055896187j),(0.15788809976436446-0.0075353590922389935j),(-0.07904029459364945+0.039302716791662695j),(0.07030457309757299+0.16770148523619727j),(0.03416075318096698-0.022083392716666535j),0.4873619841533213
8,(0.1287585039667357+0j),(0.10700709327205658+0j),(0.10864033122179195+0j),(0.040507593273981034+0j),(0.17893617066942294+0j),(0.4519938128780172+0j),(0.15730114184906016+0j),(0.03527723395767579+0j),(0.2218029120204331+0j),(0.1499436236637187+0j),(0.01657875234375189+0j),(0.011450518010534615+0j),(0.011802721567980665+0j),(0.0016408651128502732+0j),(0.032018153173836855+0j),(0.20429840688000803+0j),(0.024743649227018143+0j),(0.0012444832357045939+0j),(0.04919653178074398+0j),(0.0224830902774069+0j),-0.34572504122326,5.037841861923715,-0.1287585039667357,0.6614349256758817,(0.10686137011273725+0.005582614814153189j),(0.07574563655655976+0.0778801650654531j),(0.014042763281082157+0.03799560385467987j),(-0.17818070788780133+0.01642524004204724j),(0.1970625762428902+0.4067735831202945j),(0.13008348517249363-0.08844171025254868j),(-0.03195624591179521+0.014942609642544567j),(0.054028395096033986+0.21512197540951233j),(-0.13475155492473478-0.06576555878857174j),0.5056795735090521
9,(0.3435071884368401+0j),(0.11332967779922837+0j),(0.12287235289072335+0j),(0.04625419040478971+0j),(0.10028382990663948+0j),(0.4356307211381571+0j),(0.14497554390180245+0j),(0.060780446326934585+0j),(0.11575720254957962+0j),(0.10501155726602432+0j),(0.11799718850778276+0j),(0.012843615870076916+0j),(0.015097615104902453+0j),(0.00213945013000254+0j),(0.010056846540743798+0j),(0.18977412519935077+0j),(0.02101790832962345+0j),(0.0036942626557013762+0j),(0.013399729942104402+0j),(0.011027427159435506+0j),-0.46385642793576304,5.090640962714662,-0.3435071884368401,0.6451912437349909,(0.10418454411341067+0.04460041073754478j),(0.10181748729236718+0.06878091585876928j),(-0.04091940076251799+0.021565082221938838j),(-0.10025945939864409-0.0022107333252649464j),(0.010203599998960228+0.4355112073717644j),(0.1435211168841883-0.02048407522781062j),(0.05729658253627686-0.020282117378740055j),(-0.007550046890019115+0.11551072129487772j),(-0.08783891884340508-0.057547819210263744j),0.5055984343731752
10,(0.08373700943786072+0j),(0.08712323034557742+0j),(0.10121123583736655+0j),(0.1293926932225645+0j),(0.06274625321662086+0j),(0.3274582517653425+0j),(0.05571975529898382+0j),(0.07757287305937557+0j),(0.13818579752811372+0j),(0.08919368655654014+0j),(0.007011886749596376+0j),(0.007590457265848543+0j),(0.01024371425972703+0j),(0.016742469059388688+0j),(0.0039370922927243045+0j),(0.10722890664921443+0j),(0.003104691130578636+0j),(0.0060175506346859964+0j),(0.01909531463848084+0j),(0.007955513721546327+0j),-0.10886123156797381,5.031427760869003,0.08373700943786072,0.6450877191658079,(0.02406728086959732+0.08373304758213723j),(0.09693980627348066+0.02909275200779518j),(-0.1293516178033211-0.003260066111634659j),(-0.05076293971232196+0.036881109588615554j),(-0.0760843895736273+0.31849658131983605j),(0.0539507944605813-0.0139284926553718j),(-0.033864293002052084+0.06979083245066764j),(-0.09810857058146923+0.0973140432668467j),(-0.08901317131091847+0.005671777033647267j),0.5246014440474682
