,0.0,0.025,0.05
0.95,-5.655093246754229e-113,-5.599102224509149e-115,-5.543665568820956e-117
0.975,-5.488777790911715e-119,-5.43443345634824e-121,-5.3806271845031414e-123
1.0,-5.327353648022891e-125,-5.274607572299846e-127,-5.222383734950298e-129
1.025,-5.170676965297304e-131,-5.119482143858667e-133,-5.068794201840189e-135
1.05,-5.018608120633854e-137,-4.968918931320644e-139,-4.919721714178829e-141
1.0750000000000002,-4.8710115981968285e-143,-4.822783760590888e-145,-4.775033426327602e-147
1.1,-4.727755867651042e-149,-4.6809464036148594e-151,-4.634600399618647e-153
1.125,-4.588713266949135e-155,-4.543280462325826e-157,-4.498297487451339e-159
1.1500000000000001,-4.453759888565669e-161,-4.409663256005563e-163,-4.366003223767857e-165
1.1750000000000003,-4.32277546907707e-167,-4.27997571195745e-169,-4.237599714809372e-171
1.2000000000000002,-4.195643281989467e-173,-4.154102259395483e-175,-4.112972534054935e-177
1.225,-4.072250033717727e-179,-4.031930726453146e-181,-3.992010620250654e-183
1.2500000000000002,-3.9524857626244024e-185,-3.913352240222176e-187,-3.87460617843774e-189
1.2750000000000004,-3.8362437410274687e-191,-3.7982611297301464e-193,-3.760654583891216e-195
1.3000000000000003,-3.723420380090266e-197,-3.6865548317725256e-199,-3.650054288883676e-201
