,abs_amplitude,amplitude_squared,abs_c_0
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,5.637136069719534e-09,3.177730306853299e-17,0.0
19,5.637136069719534e-09,3.177730306853299e-17,0.0
20,5.637136069719534e-09,3.177730306853299e-17,0.0
21,1.4799087340808193e-07,2.190129861208693e-14,0.0
22,1.4799087340808193e-07,2.190129861208693e-14,0.0
23,1.25439968562301e-07,1.5735185712911062e-14,0.0
24,1.25439968562301e-07,1.5735185712911062e-14,0.0
25,1.25439968562301e-07,1.5735185712911062e-14,0.0
26,1.25439968562301e-07,1.5735185712911062e-14,0.0
27,1.25439968562301e-07,1.5735185712911062e-14,0.0
28,9.968791941697854e-08,9.937681277686007e-15,0.0
29,9.968791941697854e-08,9.937681277686007e-15,0.0
30,9.968791941697854e-08,9.937681277686007e-15,0.0
31,7.70094213411863e-07,5.93045097530436e-13,0.0
32,3.8351771995154323e-07,1.4708584151683033e-13,0.0
33,3.8351771995154323e-07,1.4708584151683033e-13,0.0
34,3.8351771995154323e-07,1.4708584151683033e-13,0.0
35,3.8351771995154323e-07,1.4708584151683033e-13,0.0
36,2.1252633945415688e-07,4.516744496178352e-14,0.0
37,1.87057038092261e-07,3.4990335499849584e-14,0.0
38,7.514325978749765e-07,5.646509491491361e-13,0.0
39,2.045361810567893e-07,4.183504936129569e-14,0.0
40,2.045361810567893e-07,4.183504936129569e-14,0.0
41,2.045361810567893e-07,4.183504936129569e-14,0.0
42,2.045361810567893e-07,4.183504936129569e-14,0.0
43,2.045361810567893e-07,4.183504936129569e-14,0.0
44,7.024805443149163e-08,4.9347891514098104e-15,0.0
45,3.343078999834052e-07,1.1176177199131444e-13,0.0
46,9.104728897854759e-09,8.289608830343154e-17,0.0
47,1.1060857577462828e-07,1.2234257034891686e-14,0.0
48,1.1060857577462828e-07,1.2234257034891686e-14,0.0
49,2.7197850607235844e-08,7.397230776535192e-16,0.0
50,1.6708992626487522e-07,2.7919043459201437e-14,0.0
51,1.6708992626487522e-07,2.7919043459201437e-14,0.0
52,5.844387349171011e-07,3.4156863487150153e-13,0.0
53,4.6447057256730724e-07,2.1573291278100222e-13,0.0
54,4.6447057256730724e-07,2.1573291278100222e-13,0.0
55,1.1073850404225389e-07,1.2263016277516282e-14,0.0
56,6.15890700600043e-07,3.793213550856119e-13,0.0
57,5.830182806583146e-07,3.3991031558177733e-13,0.0
58,9.664004157827315e-08,9.339297636250364e-15,0.0
59,4.1202004425255553e-07,1.6976051686587782e-13,0.0
60,1.7982986546655568e-07,3.2338780513719515e-14,0.0
61,1.9312494331555303e-07,3.729724373063557e-14,0.0
62,5.0217478498295896e-08,2.5217951467268108e-15,0.0
63,1.309382383216554e-07,1.714482225477863e-14,0.0
64,1.7550235327856586e-07,3.0801076006314536e-14,0.0
65,7.827789532765476e-08,6.127428896927275e-15,0.0
66,1.6833949882212845e-07,2.8338186863685385e-14,0.0
67,2.988943600762104e-07,8.933783848536732e-14,0.0
68,8.582897224796999e-07,7.366612477142804e-13,0.0
69,2.0312637910267414e-07,4.1260325887363294e-14,0.0
70,3.9912564133505306e-07,1.5930127757111743e-13,0.0
71,1.4749249927247786e-08,2.1754037341641884e-16,0.0
72,1.0341960249527437e-07,1.0695614180280562e-14,0.0
73,1.0341960249527437e-07,1.0695614180280562e-14,0.0
74,2.009498119500257e-07,4.038082692275069e-14,0.0
75,4.818598846976212e-07,2.3218894848080474e-13,0.0
76,3.7027543503693626e-07,1.371038977917924e-13,0.0
77,3.044324468073922e-07,9.267911466913567e-14,0.0
78,4.3965483496393393e-07,1.9329637390716397e-13,0.0
79,1.0097430241550164e-06,1.019580974829718e-12,0.0
80,9.829360432645196e-09,9.661632651485097e-17,0.0
81,7.74136619006063e-08,5.9928750488613824e-15,0.0
82,2.1322410015917173e-07,4.54645168886885e-14,0.0
83,5.829904710587549e-10,3.398778893453089e-19,0.0
84,8.009936284840932e-08,6.415907928721135e-15,0.0
85,2.0692391319377597e-07,4.281750585142533e-14,0.0
86,4.187660263711618e-07,1.7536498484269258e-13,0.0
87,2.3276320093018854e-07,5.4178707707267326e-14,0.0
88,2.3137995325572574e-07,5.353668276862183e-14,0.0
89,5.045593346202457e-07,2.5458012215242507e-13,0.0
90,5.189767645647194e-07,2.6933688215806423e-13,0.0
91,1.7412139104207175e-07,3.031825881842606e-14,0.0
92,2.692588689082475e-07,7.25003384857488e-14,0.0
93,1.0591852112509059e-07,1.1218733117326261e-14,0.0
94,1.1195302055769274e-07,1.2533478811991175e-14,0.0
95,1.1360774122242948e-07,1.2906718865662503e-14,0.0
96,2.364762747301748e-07,5.59210285102611e-14,0.0
97,7.667063979845391e-07,5.878387007104265e-13,0.0
98,8.069494737497605e-08,6.511674531850154e-15,0.0
99,4.0907498119332395e-07,1.6734234023831834e-13,0.0
100,2.0783157637234147e-07,4.3193964137412403e-14,0.0
101,6.606872051593165e-07,4.365075830612287e-13,0.0
102,2.620409922614846e-07,6.866548162538344e-14,0.0
103,3.7112430338387565e-08,1.3773324856216697e-15,0.0
104,6.490424308692576e-07,4.212560770686751e-13,0.0
105,4.038411240888409e-09,1.6308765350533863e-17,0.0
106,7.971891008643074e-08,6.35510462536843e-15,0.0
107,2.411475828362024e-07,5.81521567077431e-14,0.0
108,2.530491223327324e-07,6.403385831336615e-14,0.0
