,amplitude,c_0
0,(0.9877487800371743+0j),(-0.05397662931612944-0.005294200060458259j)
1,(0.9644214626649794+0j),(-0.2548871221195276-0.05222742079273285j)
2,(0.894812135689574+0j),(-0.47578966867403794-0.3009146425414244j)
3,(0.9786575098676659+0j),(-0.47737135967585015-0.28355828629348484j)
4,(0.8711128757547705+0j),(-0.11342289043107645-0.13195182420678558j)
5,(0.9828331510778099+0j),(0.11142747753092751+0.3112720338233416j)
6,(0.7196909783073617+0j),(0.23556484501589448-0.22444882536010455j)
7,(0.48095559926654624+0j),(-0.22357620074847484+0.2774512999402665j)
8,(0.9756949291512738+0j),(0.2510673266480527-0.013220457612207304j)
9,(0.8224695634907985+0j),(-0.2462634571576035+0.03001686190197711j)
10,(0.6255358425019868+0j),(-0.26501855313098727-0.3817978189286989j)
11,(0.9802082658125242+0j),(0.017274893811434683-0.25312157327870605j)
12,(0.7310233824789925+0j),(-0.05140678220121414+0.19267991715566238j)
13,(0.9797821202939754+0j),(-0.12022004949823042+0.25054871793656486j)
14,(0.9546597249464055+0j),(-0.1578088311338317+0.007911616239938746j)
15,(0.9492487887957757+0j),(0.3882314705209991-0.22702340136140997j)
16,(0.8805071418393804+0j),(0.034582904925166975+0.20426503387364103j)
17,(0.6337783905510852+0j),(0.09555500963022567-0.21880337104896158j)
18,(0.7849266203096232+0j),(-0.15718777143735474-0.43900439700126476j)
19,(0.8061570597457131+0j),(0.25364328813016174-0.1625660665139736j)
20,(-0.8060728785311794+0j),(0.24784279974744655+0.10510407145069776j)
21,(-0.5424388303634062+0j),(-0.24323181680992867+0.29558684909756894j)
22,(-0.8731933031354336+0j),(0.039380676748749205+0.435779301600668j)
23,(0.9935419322645458+0j),(0.022054282344961873+0.22052529546229338j)
24,(0.7483967965089047+0j),(-0.07055588225010165-0.29041889262212145j)
25,(-0.8733794093174432+0j),(0.1733382736651889-0.09841944152792279j)
26,(0.4656592081945835+0j),(-0.10107200572154607+0.04919945109145235j)
27,(-0.9464189585982052+0j),(-0.35436735180106765+0.22649092552796574j)
28,(-0.13431254331845754+0j),(0.4048866348731642+0.3158809346953174j)
