,amplitude,c_0
0,(0.6152300562810612+0j),(0.4233833654405835-0.12413419196812372j)
1,(-0.04877942931908813+0j),(0.8386326027443111-0.6422474436432605j)
2,(-0.5810028821622991+0j),(1.3838904835742614-1.5661035355528163j)
3,(0.7835893006346838+0j),(0.788593939268148-1.7928438503672315j)
4,(-0.42544777259794325+0j),(0.47299366052507186-2.0608485650450943j)
5,(0.46170585057495206+0j),(0.13645275033028642-1.9416341824895156j)
6,(-0.017756821802417333+0j),(0.33557345922434806-1.9722108962701361j)
7,(-0.05391843464633367+0j),(0.6774256795432827-1.7742577095509384j)
8,(0.8527163179666255+0j),(0.30896463486969283-2.0967722325728304j)
9,(0.1430422212047292+0j),(-0.23827806148294797-1.8573397592544725j)
10,(-0.775601410336743+0j),(-0.03945786995018041-1.8974369176154366j)
11,(-0.25129956550405985+0j),(-0.3041269525614964-1.8994374890043624j)
12,(-0.7286727169348363+0j),(-0.39632021127297373-1.9960133069702222j)
13,(0.6136231335832728+0j),(1.767205537555193-0.7365279344986501j)
14,(-0.5559581322274718+0j),(1.5270591721411868-1.4964058224505503j)
15,(-0.6249803662720992+0j),(0.9338715428959049-1.7819455623363887j)
16,(0.05267145678048267+0j),(-0.24542040384321623-2.251773015014274j)
17,(-0.4285469877037751+0j),(-1.2451105332751409-1.3437127314101083j)
18,(-0.5149127381459362+0j),(-1.8441724074393104-1.4485238352370347j)
19,(-0.7332770496981863+0j),(-0.4620880152484379-1.8802839905357178j)
20,(0.514200678109289+0j),(0.8445615586458365-1.7488562912532573j)
21,(0.5764530060316343+0j),(1.2190770593115647-1.6524695512737906j)
22,(0.6593431202936881+0j),(1.7357190646112821-0.497245629372669j)
23,(0.2643636301289346+0j),(0.026469123515708754-2.155835019207991j)
24,(0.9587111575674688+0j),(0.3076577315134668-2.099723944041109j)
25,(-0.5711374938921187+0j),(1.6454232916578588-1.2403408874822663j)
26,(-0.8935346409494589+0j),(1.1971355199027904-1.4382026488644786j)
27,(-0.0818090861365143+0j),(1.8035942715834241+0.2426073656101671j)
28,(0.5516608364026081+0j),(1.965118227486852+0.009593520078873041j)
29,(-0.025744461878457962+0j),(2.1234362768123267-0.036157299542430105j)
30,(-0.5040338782437793+0j),(1.717434454048432-0.8723537789141527j)
31,(-0.7838968713733692+0j),(1.7907267053829443+0.24290600417794844j)
32,(0.6707445289460643+0j),(1.5677752571534613+1.1983644771403723j)
33,(0.5246162447766864+0j),(1.9316179026982385+0.18440782339553008j)
34,(-0.23760414828566856+0j),(1.6496027355998566+1.0281572751571393j)
35,(-0.29685094265804957+0j),(0.8561577620329259+1.6388114135845702j)
36,(0.14268408293055884+0j),(1.210023131326907+1.572593272039823j)
37,(-0.20707089799652978+0j),(1.9351129185937013-0.8980046865860472j)
38,(-0.17758210076381886+0j),(1.667971995418819-1.2772418121287368j)
39,(-0.3299277933101776+0j),(1.025526613251952-1.8713824924339841j)
40,(-0.7812875731422073+0j),(0.8720573463972148-1.8327401169768085j)
41,(0.6481431962362072+0j),(-0.3263763847826844-2.0072954099889464j)
42,(0.926430284554892+0j),(-0.44953206508002563-2.041102914161909j)
43,(0.7368395800181908+0j),(0.016390455728757816-2.00408056249757j)
44,(-0.2702660314630899+0j),(1.1899370582995183-1.5965111930306655j)
45,(-0.6598989260965694+0j),(1.741983496503967-1.14306738126896j)
46,(-0.5638044214379632+0j),(1.7824964902998692-0.89923766023281j)
47,(0.46912690848254934+0j),(2.0133168717891925-0.3634923476350561j)
48,(-0.11841218553331445+0j),(1.9927341690923042+0.1729600424335032j)
49,(0.3211042117418056+0j),(0.49347957528632086-1.8874442347814695j)
50,(-0.7760123679774981+0j),(1.3836922845765431-1.5436043422300703j)
51,(-0.9421745177522858+0j),(1.4371418617036669-1.355216894004691j)
52,(0.1530033589808728+0j),(1.5090739943175289-1.2112324583287517j)
53,(-0.8923538132955695+0j),(2.0569070342701816-0.6159898161559938j)
54,(-0.2730084645613258+0j),(2.0301678811829347-0.7796848473506872j)
55,(-0.4722565804818962+0j),(1.8813646769870669+0.5399166503522936j)
56,(0.5714210623828356+0j),(1.6773896058159061+1.2683485495835805j)
57,(0.18085201015623098+0j),(0.5474156552877136+1.8636508745413054j)
58,(0.18085201015623098+0j),(0.5474156552877136+1.8636508745413054j)
59,(0.9664855253044047+0j),(0.9858433208527827+1.6717323220840723j)
60,(-0.921589708921718+0j),(-1.2918244811067228+0.8861385348321467j)
61,(0.33678321108007037+0j),(-2.0173532473483955+0.5963615882925013j)
62,(-0.2609574280821927+0j),(-1.6969045241571217+1.178957555359233j)
63,(-0.2609574280821927+0j),(-1.6969045241571217+1.178957555359233j)
64,(0.40764556514567335+0j),(0.5396469828742788+1.9882181706040782j)
65,(0.7165002414725309+0j),(-0.3964785717325514+2.0065218855871545j)
66,(0.754623798782017+0j),(-0.4041017090657971+2.069956036451175j)
67,(-0.9356992913541644+0j),(-2.124086460451738+0.5459751710716914j)
68,(0.981657092365255+0j),(-1.6177000791872118+1.4737842757490942j)
69,(-0.05543208375452713+0j),(1.1408064672180338+1.5799851035193202j)
70,(-0.7903807910789691+0j),(0.8654803358614256+2.042146556161641j)
71,(0.09061820321525435+0j),(-1.1277297806474778+1.5319283078800032j)
72,(-0.15354180545938673+0j),(-0.8953708745598234+1.7283515671524867j)
73,(0.5481983641681182+0j),(1.0788007655985858-1.4477798522121046j)
74,(-0.3381786420073465+0j),(-1.888837329858576+0.9362988264864852j)
75,(-0.30826636220808146+0j),(0.5770563399185374+1.9171884254179914j)
76,(0.7971480011301613+0j),(0.5752338443711662+1.9152633415961369j)
77,(0.7971480011301613+0j),(-2.00379998999564+0.31798530233312794j)
78,(0.7788423490758619+0j),(-2.009231827661732+0.37946049835086554j)
79,(0.3780231376410085+0j),(-2.0791009422345175-0.29838015828542475j)
80,(-0.34500437012171514+0j),(-1.1845700787579077+1.5588743065747899j)
81,(-0.66682321389646+0j),(-0.9763244201294338+1.8046950675030138j)
82,(-0.5570938364524869+0j),(-0.6856294458995519+1.900092740114093j)
83,(0.3827756889968882+0j),(-1.7685107638837838-1.0555895591902225j)
84,(-0.6646167356522812+0j),(-1.1572649126681467+1.416251487046j)
85,(0.589931656176554+0j),(-1.7698670891164372+1.025728231537507j)
86,(0.6358327728027939+0j),(-1.7912722922736748+0.4031326807621052j)
87,(-0.4026277428652864+0j),(-1.9389499448961625+0.6655811912003993j)
88,(0.15778099791771888+0j),(-0.3201310185225009+1.531725231812011j)
89,(-0.7957814236293663+0j),(0.7672628374980988+1.946445423239931j)
90,(-0.6102695527633949+0j),(0.14891092518627713+2.132299930009971j)
91,(-0.767573170078302+0j),(1.5427682235559441+1.0312953824664934j)
92,(0.6623473127092259+0j),(1.5613129645452737+0.9682783182102387j)
93,(0.4129727558404872+0j),(2.064934003110307+0.24597873161765146j)
94,(0.7951076786752691+0j),(0.9341355201690147-1.7487788149946937j)
95,(-0.34453748115806526+0j),(1.5247447048645508-1.1905111027673552j)
96,(-0.3153971933770905+0j),(1.1940167125244496-1.611998130629904j)
97,(0.9333024745227271+0j),(1.0277678537332142-1.7673203708285412j)
98,(-0.37705989340864815+0j),(-0.3516191115668963-1.986410627547183j)
99,(-0.3908914671602212+0j),(-1.3770743252058963-1.472161483010847j)
100,(0.6500880925537433+0j),(-1.3916102867960283-1.4914958606904025j)
101,(-0.0963060871164127+0j),(-1.792066964935763-1.1476541365747799j)
102,(0.9654535468643579+0j),(-0.5220471214979759-1.9390490986490168j)
103,(0.7837997298575234+0j),(-1.1302113131592257-1.6510792918942025j)
104,(0.3267412910614421+0j),(-1.5256688118065804-1.3322348321566482j)
105,(0.32600529151920465+0j),(-1.0528307160984867-1.5547261678242206j)
106,(-0.839636145325174+0j),(-0.6024102649844305-2.015186734819537j)
107,(0.4663169224540127+0j),(-1.1940215747082528-1.6294851404442134j)
108,(-0.8133789907413788+0j),(-1.4195355761175326-1.0929753093750842j)
109,(-0.26424847044141886+0j),(-1.0605331871996206-1.5171309064383265j)
110,(-0.08371026314192079+0j),(-1.1853073951482995-1.4894483686176454j)
111,(-0.2832293308907967+0j),(-1.2841578680207177-1.800642435046245j)
112,(0.8019111939380341+0j),(-1.5048661723469112-1.1308766480152603j)
113,(0.5425203507976137+0j),(-1.3988783438588137-1.5881281308172726j)
114,(-0.8325732802847488+0j),(1.6907029398102935-1.0422581976382514j)
115,(-0.5622361668136127+0j),(1.960981461870421-0.15429369740772741j)
116,(-0.45297818736361434+0j),(0.69731918126214-1.589258948058331j)
117,(0.449181110281789+0j),(1.091080324810295-1.6430525442406387j)
118,(-0.8287512871547424+0j),(2.0282323375497033-0.3695221238995864j)
119,(0.01782769128869155+0j),(1.8380321580589118+0.24799871935689521j)
120,(0.3169548382375639+0j),(1.9660312554675892+0.23577190664393669j)
121,(0.2162400095602014+0j),(1.157775209609875+1.6838787532477844j)
122,(-0.422593129981788+0j),(-0.20546506362854577+2.076939638471561j)
123,(-0.8401620079483085+0j),(1.7494623529325954+1.0380701417838982j)
124,(0.7900995239231803+0j),(1.9784897034376456+0.5826055305116205j)
125,(-0.43792318209762804+0j),(2.002545978732866+0.7289231235528202j)
126,(-0.6880823568461132+0j),(1.773080013065771+0.9052240512521262j)
127,(0.567283062571962+0j),(2.076973876296371-0.34035726876821737j)
128,(-0.8098719350991801+0j),(1.782428437746991-0.5925160125010509j)
