,amplitude,c_-8,c_-7,c_-6,c_-5,c_-4,c_-3,c_-2,c_-1,c_0,c_1,c_2,c_3,c_4,c_5,c_6,c_7,c_8
0,(0.14241398746514672+0j),(-0.037632876695875735-0.12371223564053062j),(0.06748288705322383-0.03348422263316962j),(-0.020841757161653374-0.014246317379381425j),(-0.012991131070898838+0.013936193068844391j),(-0.0035028617648177563-0.014133525073024289j),(0.04051593642564088-0.024067975689494543j),(-0.0007357795806000738+0.020098332335515463j),(0.0376595884285235-0.0329828383832842j),(-0.018873044057403025+0.0007750510135475422j),(0.012684220799621703-0.010158671439463514j),(0.12537714790693916+0.012304904940666812j),(-0.0014272122245379659-0.004294872944257317j),(-0.017206863359592543-0.021513524491624195j),(0.020676798145907917+0.06846735858000594j),(0.09257764874419941+0.006409897656854392j),(0.13286538621783767-0.02747048693861569j),(0.014413351409960251+0.004071038520593794j)
1,(0.14241398746514672+0j),(-0.037632876695875735-0.12371223564053062j),(0.06748288705322383-0.03348422263316962j),(-0.020841757161653374-0.014246317379381425j),(-0.012991131070898838+0.013936193068844391j),(-0.0035028617648177563-0.014133525073024289j),(0.04051593642564088-0.024067975689494543j),(-0.0007357795806000738+0.020098332335515463j),(0.0376595884285235-0.0329828383832842j),(-0.018873044057403025+0.0007750510135475422j),(0.012684220799621703-0.010158671439463514j),(0.12537714790693916+0.012304904940666812j),(-0.0014272122245379659-0.004294872944257317j),(-0.017206863359592543-0.021513524491624195j),(0.020676798145907917+0.06846735858000594j),(0.09257764874419941+0.006409897656854392j),(0.13286538621783767-0.02747048693861569j),(0.014413351409960251+0.004071038520593794j)
2,(0.14241398746514672+0j),(-0.037632876695875735-0.12371223564053062j),(0.06748288705322383-0.03348422263316962j),(-0.020841757161653374-0.014246317379381425j),(-0.012991131070898838+0.013936193068844391j),(-0.0035028617648177563-0.014133525073024289j),(0.04051593642564088-0.024067975689494543j),(-0.0007357795806000738+0.020098332335515463j),(0.0376595884285235-0.0329828383832842j),(-0.018873044057403025+0.0007750510135475422j),(0.012684220799621703-0.010158671439463514j),(0.12537714790693916+0.012304904940666812j),(-0.0014272122245379659-0.004294872944257317j),(-0.017206863359592543-0.021513524491624195j),(0.020676798145907917+0.06846735858000594j),(0.09257764874419941+0.006409897656854392j),(0.13286538621783767-0.02747048693861569j),(0.014413351409960251+0.004071038520593794j)
3,(0.14241398746514672+0j),(-0.037632876695875735-0.12371223564053062j),(0.06748288705322383-0.03348422263316962j),(-0.020841757161653374-0.014246317379381425j),(-0.012991131070898838+0.013936193068844391j),(-0.0035028617648177563-0.014133525073024289j),(0.04051593642564088-0.024067975689494543j),(-0.0007357795806000738+0.020098332335515463j),(0.0376595884285235-0.0329828383832842j),(-0.018873044057403025+0.0007750510135475422j),(0.012684220799621703-0.010158671439463514j),(0.12537714790693916+0.012304904940666812j),(-0.0014272122245379659-0.004294872944257317j),(-0.017206863359592543-0.021513524491624195j),(0.020676798145907917+0.06846735858000594j),(0.09257764874419941+0.006409897656854392j),(0.13286538621783767-0.02747048693861569j),(0.014413351409960251+0.004071038520593794j)
4,(0.14241398746514672+0j),(-0.037632876695875735-0.12371223564053062j),(0.06748288705322383-0.03348422263316962j),(-0.020841757161653374-0.014246317379381425j),(-0.012991131070898838+0.013936193068844391j),(-0.0035028617648177563-0.014133525073024289j),(0.04051593642564088-0.024067975689494543j),(-0.0007357795806000738+0.020098332335515463j),(0.0376595884285235-0.0329828383832842j),(-0.018873044057403025+0.0007750510135475422j),(0.012684220799621703-0.010158671439463514j),(0.12537714790693916+0.012304904940666812j),(-0.0014272122245379659-0.004294872944257317j),(-0.017206863359592543-0.021513524491624195j),(0.020676798145907917+0.06846735858000594j),(0.09257764874419941+0.006409897656854392j),(0.13286538621783767-0.02747048693861569j),(0.014413351409960251+0.004071038520593794j)
5,(0.14241398746514672+0j),(-0.037632876695875735-0.12371223564053062j),(0.06748288705322383-0.03348422263316962j),(-0.020841757161653374-0.014246317379381425j),(-0.012991131070898838+0.013936193068844391j),(-0.0035028617648177563-0.014133525073024289j),(0.04051593642564088-0.024067975689494543j),(-0.0007357795806000738+0.020098332335515463j),(0.0376595884285235-0.0329828383832842j),(-0.018873044057403025+0.0007750510135475422j),(0.012684220799621703-0.010158671439463514j),(0.12537714790693916+0.012304904940666812j),(-0.0014272122245379659-0.004294872944257317j),(-0.017206863359592543-0.021513524491624195j),(0.020676798145907917+0.06846735858000594j),(0.09257764874419941+0.006409897656854392j),(0.13286538621783767-0.02747048693861569j),(0.014413351409960251+0.004071038520593794j)
6,(0.14241398746514672+0j),(-0.037632876695875735-0.12371223564053062j),(0.06748288705322383-0.03348422263316962j),(-0.020841757161653374-0.014246317379381425j),(-0.012991131070898838+0.013936193068844391j),(-0.0035028617648177563-0.014133525073024289j),(0.04051593642564088-0.024067975689494543j),(-0.0007357795806000738+0.020098332335515463j),(0.0376595884285235-0.0329828383832842j),(-0.018873044057403025+0.0007750510135475422j),(0.012684220799621703-0.010158671439463514j),(0.12537714790693916+0.012304904940666812j),(-0.0014272122245379659-0.004294872944257317j),(-0.017206863359592543-0.021513524491624195j),(0.020676798145907917+0.06846735858000594j),(0.09257764874419941+0.006409897656854392j),(0.13286538621783767-0.02747048693861569j),(0.014413351409960251+0.004071038520593794j)
7,(0.14241398746514672+0j),(-0.037632876695875735-0.12371223564053062j),(0.06748288705322383-0.03348422263316962j),(-0.020841757161653374-0.014246317379381425j),(-0.012991131070898838+0.013936193068844391j),(-0.0035028617648177563-0.014133525073024289j),(0.04051593642564088-0.024067975689494543j),(-0.0007357795806000738+0.020098332335515463j),(0.0376595884285235-0.0329828383832842j),(-0.018873044057403025+0.0007750510135475422j),(0.012684220799621703-0.010158671439463514j),(0.12537714790693916+0.012304904940666812j),(-0.0014272122245379659-0.004294872944257317j),(-0.017206863359592543-0.021513524491624195j),(0.020676798145907917+0.06846735858000594j),(0.09257764874419941+0.006409897656854392j),(0.13286538621783767-0.02747048693861569j),(0.014413351409960251+0.004071038520593794j)
8,(0.14241398746514672+0j),(-0.037632876695875735-0.12371223564053062j),(0.06748288705322383-0.03348422263316962j),(-0.020841757161653374-0.014246317379381425j),(-0.012991131070898838+0.013936193068844391j),(-0.0035028617648177563-0.014133525073024289j),(0.04051593642564088-0.024067975689494543j),(-0.0007357795806000738+0.020098332335515463j),(0.0376595884285235-0.0329828383832842j),(-0.018873044057403025+0.0007750510135475422j),(0.012684220799621703-0.010158671439463514j),(0.12537714790693916+0.012304904940666812j),(-0.0014272122245379659-0.004294872944257317j),(-0.017206863359592543-0.021513524491624195j),(0.020676798145907917+0.06846735858000594j),(0.09257764874419941+0.006409897656854392j),(0.13286538621783767-0.02747048693861569j),(0.014413351409960251+0.004071038520593794j)
9,(0.14241398746514672+0j),(-0.037632876695875735-0.12371223564053062j),(0.06748288705322383-0.03348422263316962j),(-0.020841757161653374-0.014246317379381425j),(-0.012991131070898838+0.013936193068844391j),(-0.0035028617648177563-0.014133525073024289j),(0.04051593642564088-0.024067975689494543j),(-0.0007357795806000738+0.020098332335515463j),(0.0376595884285235-0.0329828383832842j),(-0.018873044057403025+0.0007750510135475422j),(0.012684220799621703-0.010158671439463514j),(0.12537714790693916+0.012304904940666812j),(-0.0014272122245379659-0.004294872944257317j),(-0.017206863359592543-0.021513524491624195j),(0.020676798145907917+0.06846735858000594j),(0.09257764874419941+0.006409897656854392j),(0.13286538621783767-0.02747048693861569j),(0.014413351409960251+0.004071038520593794j)
