,amplitude,c_-2,c_-1,c_0,c_1,c_2
0,(-0.29796106643335585+0j),(-0.00897362750423561-0.2507669862556747j),(-0.07744820683724235-0.2043804203248692j),(-0.2600050145896945+0.6615276094106617j),(-0.11922630311778501-0.33763763118671625j),(-0.0022423944688751835+0.048260705077776384j)
1,(-0.5011956891600136+0j),(0.13335405679212997-0.08778891746272843j),(-0.24570278894603131-0.4228379463978872j),(0.5133307640701995-0.09124913683222541j),(-0.032376069627719495-0.39227348093600445j),(-0.05108060867398372-0.08563170242531756j)
2,(-0.21684657366374332+0j),(-0.14053624067862885-0.3163805888308203j),(-0.31340200613014674+0.03278213845336353j),(0.46122898649087063+0.22105355318397454j),(-0.025539433813549978+0.12985022047284794j),(0.10510161704334257-0.09660219341565578j)
3,(0.08197359709482083+0j),(-0.043398908798155486+0.0634323034439021j),(-0.1784508806421862+0.021868902126757392j),(0.49316645684525273+0.21444131375946981j),(-0.030575316100508364+0.14089480427808138j),(0.025466988977221647-0.06718378919813794j)
4,(-0.06985965606141989+0j),(-0.09130924251133715+0.09880621031570402j),(-0.20353146195796665+0.17851131930614428j),(0.31813016606944083+0.5847011529298561j),(0.00014451450593117032+0.00037559167619532347j),(-0.01554960361693155-0.024089315089459933j)
5,(0.1806200701924593+0j),(0.01724836239612515+0.08592061203382821j),(-0.0747348736508697+0.04812868410175081j),(0.8222787425161935+0.5957939244436495j),(-0.05777520446609278-0.04905828451999511j),(-0.009594582389877367-0.025296630091273205j)
6,(-0.3842777953075207+0j),(-0.09092577503918439-0.0753993879926428j),(-0.12703196029808128+0.06688309701769665j),(0.9481143013651807+0.6037606609921886j),(-0.044052103936287786-0.06224176586617005j),(0.0005020808270628421-0.13141636963414038j)
7,(0.14457596528321692+0j),(-0.08541536839226913-0.03197330179692932j),(0.08463704529053656-0.17060446529015505j),(0.8328444017239772+0.1454856188621401j),(-0.28055922313602766+0.0766756398053158j),(-0.12650304311059557-0.06471169355984652j)
8,(-0.1589744838246666+0j),(-0.25213957150012234-0.1588497767679712j),(0.03806955424566076-0.6517511422483925j),(0.8103257285102439-0.2254167279744352j),(-0.0336913693487573+0.012175659345317481j),(-0.17884506977784057-0.03582328281487516j)
9,(0.11600233116150027+0j),(-0.1316697944248853-0.11803141442933118j),(0.006574040277657123-0.6602233804864439j),(0.7237604846002383+0.4349013159491041j),(0.13537005224471438-0.2028357959366711j),(0.29967435001227855-0.031933619396728966j)
