,amplitude,c_-3,c_-2,c_-1,c_0,c_1,c_2,c_3
0,(0.06805583285764973+0j),(-0.033929752539830216+0.06202064034713781j),(-0.12111273511598182-0.005176083696046625j),(0.23006377388321983+0.23165960055471355j),(-0.020528159359090928-0.07733530912085171j),(0.03365927316983068-0.39166752528016296j),(0.0676535486212933+0.031746254431201396j),(-0.0017080809015100687-0.15475902513368198j)
1,(0.2961364054905496+0j),(0.10276260478402882+0.059520794635705795j),(-0.013960008204337931+0.17625453126185933j),(0.2681933293781961+0.34076804699422114j),(-0.3559746314216537-0.10457011030348155j),(-0.056837776242992785-0.20564088437703507j),(0.05457817079474477-0.10020777546398389j),(0.0795818314352829-0.16265575136581192j)
2,(0.06507453582881523+0j),(0.022436370126417353-0.007886615142710694j),(-0.09890178710892178+0.21605859503908909j),(0.2181893448591292+0.3377533766340769j),(-0.295810220660824+0.4721634786019593j),(0.09952159984639042-0.27670141378562185j),(0.24460661977990533-0.03948858661748808j),(-0.12429624610087338-0.04771839251986287j)
3,(-0.4443640377213776+0j),(-0.0657369618701679+0.10142002561044469j),(0.0813012064566564+0.1938134991998524j),(0.3048728527444199+0.346441019921508j),(-0.0011304055667253655+0.06306659625141468j),(0.08230543851229603-0.40718174615152164j),(-0.13778489581589487+0.09195058188479974j),(-0.0763050293156174-0.0447968045511379j)
4,(-0.24792500231722958+0j),(-0.14689637500436323+0.044558637961313874j),(-0.17679774454006555+0.03296308901463067j),(0.14346218589930018+0.08586740055343509j),(-0.21272458959313054-0.1759823033584206j),(0.09412294685634107-0.08520925578421264j),(-0.40968139097471784-0.05649439189652672j),(0.0225344401623366-0.1666921015050606j)
5,(-0.03202950342339539+0j),(0.27351960014143334-0.020192824094569163j),(-0.16207111832488375+0.14474902273935542j),(-0.04287906375936067+0.3212038349374581j),(-0.30438922601879614+0.03984790147170371j),(0.17794916640396619-0.11597942580169676j),(-0.25758149286757875-0.24194561469412906j),(0.10180286316969327-0.1574850670259105j)
6,(-0.04562163543532549+0j),(0.16376672471118123+0.11308847321379636j),(0.011190653926048684+0.2468087668824137j),(-0.02574350552525497+0.16749125346236307j),(-0.01848667597124867+0.24799400163946492j),(0.08744067836807992+0.28257632130158855j),(-0.057853031704901144-0.10305952638055466j),(-0.1795017113872325+0.031757324800136495j)
7,(-0.27190450737800154+0j),(-0.046147080508378124-0.05261311768525969j),(0.1297104846302769+0.1440071382647251j),(0.07638139618742618-0.06900401310474535j),(-0.04906000885391199+0.2337503237185869j),(-0.16630353871070974+0.3190317299525298j),(0.09193182594548754+0.20443476335966515j),(0.024007333163382598-0.04758821599941421j)
8,(-0.04825309163315278+0j),(-0.008055940749304762+0.07706199538860992j),(-0.059727494308160746+0.04937970622177725j),(0.11955904037521112+0.21381219857522352j),(0.00029337909663799955+0.04468314675493693j),(-0.03353219343567157+0.11766694298465658j),(-0.028259010720189173+0.11766656336699982j),(0.0493408424966171-0.015125352028893368j)
9,(-0.07958070165430384+0j),(-0.018520699461472057-0.12013852764428429j),(-0.31772404010163363+0.15531530485077333j),(0.10404113133321724+0.02772580174424419j),(0.2943515618153119-0.11475572548532374j),(-0.03758005562179309+0.16032174292553622j),(-0.2080310705501607+0.1391951305826987j),(-0.0770804843807861-0.03985830961715289j)
10,(-0.05779638404360393+0j),(-0.04360420570759218+0.02536123821428698j),(-0.12904893441177312+0.34596192381109625j),(-0.17008110208052724-0.08962830380465653j),(0.452759487948317+0.20961297341164958j),(-0.0019446806321300747+0.21284552513162985j),(0.08598624460633567-0.0051002406748180615j),(0.1340445042590531-0.08736177757021599j)
11,(-0.0656340159331634+0j),(0.026514978590803533+0.009789676925077206j),(-0.016995868585109777-0.12073724489474152j),(0.01425587528532346-0.06426291695417775j),(0.5106684363290529+0.3738857905740503j),(-0.1853544182582267+0.2959105903680293j),(-0.037540661689089594-0.1670452731140101j),(-0.051196267531815956-0.02306043635066543j)
12,(-0.0656340159331634+0j),(0.026514978590803533+0.009789676925077206j),(-0.016995868585109777-0.12073724489474152j),(0.01425587528532346-0.06426291695417775j),(0.5106684363290529+0.3738857905740503j),(-0.1853544182582267+0.2959105903680293j),(-0.037540661689089594-0.1670452731140101j),(-0.051196267531815956-0.02306043635066543j)
13,(-0.134244904739027+0j),(0.03326994277415639+0.14486404466224917j),(0.33188105299605114-0.043683209531517046j),(0.23293760817579282-0.025747633356666286j),(0.4136954588044117-0.09128999144249528j),(-0.34810263570669225+0.16921670195343738j),(0.20996553481686894-0.0766605325700414j),(0.02679790681513936-0.12553145937444704j)
14,(0.25939497013179064+0j),(-0.03777411521805532-0.05664282684190972j),(0.15493792783796345+0.016631240033152233j),(0.4332592267713603-0.14639505768748481j),(0.6477737968475649-0.03202921931762877j),(-0.19520814040482065-0.09980149244946007j),(-0.01522673472442574-0.013401093446586135j),(0.07283470711674105+0.1571310539504623j)
15,(-0.16556283127954177+0j),(0.03851975359147372+0.06809838389220696j),(0.06643244656563455+0.043275496483611064j),(0.3554581324603276-0.05684834835047929j),(0.9669003757356213-0.15974569420888973j),(-0.23893380149899637-0.09752798252701253j),(-0.034387692795512265+0.22679140045900137j),(0.021452858958595666+0.1094595874873435j)
16,(0.1393184855409748+0j),(-0.01678048331090974-0.05549790884972788j),(0.1922816938216594-0.0074940672944841455j),(0.32218564946576944-0.18966026871885805j),(1.0168333438845651-0.17068596582310347j),(-0.22000101559028168-0.08339629749845412j),(-0.10105163132821662+0.11827574438773004j),(0.07041194951072127-0.010138780003377035j)
17,(0.11155140966171323+0j),(0.00856850848385745+0.08167785024507448j),(0.2055128934905536+0.04280285750015685j),(0.3266481061795986-0.23702597459470975j),(1.0331590865989841-0.09041021066637996j),(-0.23702785038263327-0.08322943600610266j),(-0.16134742210506986+0.030834444477737102j),(-0.06494680929215968+0.0394229751533267j)
18,(0.3124559490102262+0j),(0.08814757189158941+0.0871279131793971j),(-0.04236809633426146-0.008058918550961514j),(-0.04686106040568237+0.03260055095443104j),(0.680367933785316-0.1490311153044113j),(-0.25000866294885704-0.056486218866874466j),(0.008933620790228247-0.0009882928516398368j),(-0.05135670202282446-0.02465720340478958j)
19,(0.2139978344069352+0j),(0.14836373463391117+0.05848462180260748j),(-0.05332695133171947+0.04110476002112966j),(-0.007914793138647937+0.23106078704648805j),(0.6037740245502804+0.0391097356496633j),(-0.11587690069713516+0.0507518376357875j),(-0.05764130013904152-0.14627516308606786j),(-0.02702098236628655-0.0023161112141117353j)
20,(-0.18159266589041861+0j),(-0.07139720356270841-0.12858701622683158j),(0.25085640599869014-0.061067706415469214j),(0.03678708909072766+0.25888304723252636j),(0.4670889914856798+0.0654022799314972j),(-0.02903430739595156-0.12466233217522492j),(-0.15054881536693765+0.03112636826958212j),(0.12347832230805651-0.06829806129421571j)
21,(0.09662490171547117+0j),(0.05208632441829802+0.10704429531770338j),(0.12570997966666245+0.012924377957844575j),(-0.14959203510767655+0.14454700803958184j),(0.582726253170921+0.0856741803160201j),(-0.1748645350019791-0.03859845971783109j),(-0.2020798926533444+0.11874647153470745j),(0.033768065311422416-0.1912879958744388j)
22,(-0.6038597585950902+0j),(0.04782128461401346+0.06501273704836107j),(0.08590583427457088-0.09902742715549556j),(-0.028381287068726765+0.11850175059610529j),(0.11391777929437709+0.49894470994594475j),(-0.48649824376148765+0.13199057142663465j),(-0.20348190362211702+0.11964234961633285j),(0.2611789460250848-0.033094963908617325j)
23,(0.44735280345983447+0j),(0.1366865552474468-0.029507748655174915j),(-0.08119603528424377-0.03661418688364115j),(0.13878212274320026+0.27768742206130625j),(0.1526046172846311+0.499712829709552j),(-0.4056478224458777-0.051996718650917526j),(-0.12490659223013914-0.04272765433423832j),(0.016612172080747792-0.0023925356821766857j)
24,(-0.1315288035139755+0j),(0.05755361512648072+0.10968201080144857j),(0.11281113592633572+0.07002761247023709j),(0.2256650673153498+0.2802312071225302j),(0.3139924456736959+0.13314377900144114j),(-0.6231766860404274-0.2506635934599466j),(-0.13568786400511829-0.015224390744934008j),(0.010876119995886786+0.043464301291641014j)
25,(0.12174817936355459+0j),(0.04532285527455132-0.07677501663142669j),(-0.04510119394008749-0.004292220241122718j),(0.17576674511800394+0.24496632846590213j),(0.41978812750228545+0.3596291879748027j),(-0.47615743631507035-0.2351794548233563j),(-0.2499981059695269-0.1020623002920429j),(0.05651585280483278-0.08141501861926298j)
26,(-0.11298832705105019+0j),(0.17293974200587314+0.15843376134936j),(-0.09142650066703671+0.17020533442888355j),(0.07945151471556827+0.30372128966597195j),(0.4095973604330402+0.5206867110185942j),(-0.15995495693035866-0.23889362935337435j),(-0.13602666068538435-0.16897818740467574j),(0.05577814285751508+0.03758169197138041j)
27,(0.002480172459310065+0j),(-0.023290355914709335+0.06278899874928297j),(0.007733323292108046+0.15233251602902093j),(0.04460943999369195+0.0637526224354659j),(0.3953426876357447+0.43065785760753794j),(-0.42721413018475396-0.2933791433728141j),(-0.06699010128808895-0.19959309396623764j),(0.14489255876729637+0.01943100084345671j)
28,(-0.3705184572543183+0j),(-0.0218734903106331+0.09392349771966499j),(0.13491078681669874+0.1276842845063515j),(-0.05243978662197704-0.12552779851977433j),(0.38460516578548365+0.41565476123101724j),(-0.23533889025018356-0.1405123606093231j),(-0.11875226129327335+0.05486602973878378j),(0.049546712266362064+0.19777123229916527j)
29,(-0.2359039192290764+0j),(0.04615141331976383+0.037335795380856025j),(-0.08950185324910928+0.21000026267263844j),(-0.171746272074677+0.01541749373125365j),(0.24488544577933324+0.751649827747523j),(-0.2209557907377323-0.4426006165387142j),(-0.1915706054412148+0.03820292934116272j),(-0.003022609426961302-0.0481873051960513j)
30,(-0.3930432402439701+0j),(0.05746210933409604-0.002155888450411231j),(-0.0390398205490892+0.12362294464155324j),(-0.07661201553989815-0.05184607978507554j),(0.22511057885870991+0.8225301666760988j),(0.08742319390350821-0.30550365386492406j),(-0.2092232696183421+0.02979571776895495j),(-0.024936460282341814-0.07099023359731793j)
31,(-0.28625619935025165+0j),(-0.015258723339354225-0.001960462141925204j),(-0.0614893392070105+0.22399256714698212j),(-0.1107838293541781+0.28155044271393964j),(0.2542754269601983+0.8362095611835852j),(0.39969863729827215-0.1360805034656532j),(-0.15470463013127944+0.20957258367495454j),(-0.0031809342224696224-0.13160932440598644j)
32,(0.03924745989712544+0j),(0.0772629880588681-0.04069417628765787j),(-0.0809824624504944+0.21207283844778735j),(-0.061816585717720036+0.06591135605326441j),(0.07960520851234702+0.8660004384366848j),(0.45263012257265284+0.05666442926968292j),(-0.04997542097243895+0.38331663214931183j),(0.14797672824121863-0.09835681554538844j)
33,(0.07118747814024308+0j),(0.00947385072238998-0.11199324354339008j),(0.17328936920857754+0.05281674041845528j),(0.010307087790302025-0.0211376107151725j),(0.2724890212110883+0.6675208886265032j),(0.3049074589849063-0.037103632651391605j),(0.10866370309836992+0.23124790455168664j),(0.10812127167919335-0.15602675682036635j)
34,(-0.42606469902696875+0j),(-0.13700532163524945-0.05417909640137601j),(-0.07733865670898872+0.032600082189773005j),(0.011641419094748116+0.011707651316737878j),(0.254779720370875+0.6550719741961161j),(0.09534401601100392+0.040046071675305134j),(0.09300181336624119+0.1264455772306723j),(0.02919461941530411+0.20390376148933018j)
35,(0.05033933145271907+0j),(-0.08240720650492153-0.091482239552069j),(-0.1309141588264366+0.05461782254377705j),(-0.10356830714208906+0.044962612445886306j),(0.39232375921232293+0.8250242370150365j),(-0.10510622708742018+0.0070522125782202655j),(0.20460679201576684+0.014074797231918183j),(0.06893647056968523+0.07944451355466718j)
36,(-0.12714134959057477+0j),(-0.1524815128669581-0.015798490210555488j),(0.114102546259852+0.09968816400307438j),(0.04586636858947127-0.013226406855476065j),(0.36134755788675604+0.9608054615741979j),(-0.23508941730872074+0.16998470657408268j),(0.18976326981745978+0.021607614010986504j),(-0.08186089862052304+0.13146957675042448j)
37,(0.06915112089535291+0j),(-0.1460457027965164-0.027553308938479452j),(0.06299147296517665+0.01589120842095973j),(-0.010246254257751733-0.12060100680178756j),(0.6026042922314271+0.7747120243605805j),(-0.07584025141411427+0.05777009638466278j),(0.19672214837657984-0.001056688910931464j),(0.03176162783316446+0.08284960951813905j)
38,(-0.2037684695191455+0j),(-0.04990776216202814-0.1470451744941022j),(0.03184345317226175+0.08823112260483915j),(0.04740931626588854-0.03663742929932644j),(0.641120775385788+0.7315652192352448j),(-0.10111151249977424+0.20052987395472077j),(0.047180808107858824-0.15908371643344382j),(0.0190715454110021+0.10625762979357946j)
39,(-0.13701766371270224+0j),(0.011636243215831732-0.21192332140899647j),(0.0015719757658825967+0.0890680392347126j),(0.18071392409003328-0.003248246656172446j),(0.597011152397472+0.7443727646677021j),(-0.036748761045101955+0.13415292200171494j),(0.032903861744628504-0.12029163979603719j),(0.025790487469997812+0.1623853343891693j)
40,(0.664619733650808+0j),(-0.06534029947965136-0.31326010026262613j),(0.14288246999078028+0.0214440493765724j),(0.14650628075556357-0.00039144160540837726j),(0.6585650179081421+0.758680528337286j),(-0.30622608737205664+0.11516060020950264j),(-0.08636585632750732-0.12343986314477831j),(0.10619476896710256+0.0155642692968751j)
41,(0.13543442918168083+0j),(0.03337813624425429+0.0020667304542354437j),(0.2134623020898703-0.08667132981666097j),(0.270169454993843-0.2396936074427331j),(0.38648706602114546+0.8726435973646645j),(-0.23118495451805274+0.14179644646915615j),(-0.23841403190002697-0.021321388701882958j),(0.019868666612546878+0.011369745070749485j)
42,(-0.13228886950036722+0j),(0.12498004454185371+0.06798231688559726j),(0.03969016218967607-0.22338613756451967j),(0.1853996098515731-0.2578843505889654j),(0.19039961187675047+0.7949705597818421j),(0.008734608570844737+0.050909981420016404j),(0.061943734078741444-0.1474326690878787j),(0.10005178548801393+0.07267351850110333j)
43,(0.3868715326289002+0j),(-0.026506947526228848-0.11353080154703064j),(-0.014212429265230253-0.22391168030536523j),(0.12717449148977378-0.3407681121569928j),(0.10553269446791871+0.8534808020065267j),(-0.06348576331364124-0.16397815660232395j),(-0.021410864593298447+0.06847794258183582j),(0.26041084620585275+0.06275187948035245j)
44,(0.16201394051474116+0j),(-0.03256263368118574-0.040302192345973195j),(0.09843747790504453-0.3434292395133599j),(0.06036311037843087-0.3819020808262399j),(0.3564746075518981+0.871520970933133j),(-0.08446631702695971+0.06158577695090338j),(0.10259792389474559+0.0961174658703292j),(-0.032627216715235566+0.03187186449544778j)
45,(0.031146230551547124+0j),(0.07302646727950451+0.10583315067975693j),(0.07533280216938482-0.13856734702412662j),(0.06683530925317151-0.26168403230324444j),(0.3283886799827003+1.1110858887673882j),(-0.02292626448666834+0.20471985567463247j),(0.08730071877113085+0.03561561873847589j),(0.07663050597715877-0.12828976363607233j)
46,(0.11629743357439107+0j),(-0.014170150327997316-0.03628362533834105j),(0.21666487622877248-0.06892079496181337j),(0.10906263033012253-0.34323982850829454j),(0.36213890798318243+1.0154041034567283j),(-0.02041697747861697+0.26550005490617407j),(0.1098122912273683-0.12331752834894114j),(0.08417242075408785-0.09852902322550794j)
47,(0.20455927218363498+0j),(0.020890085525550387-0.06133094390560826j),(-0.05731366552071971-0.12800952332466842j),(0.3277630166523527-0.44983231216654135j),(0.22359147248669142+0.9286014981384637j),(0.01443773152792515+0.20743691235481757j),(-0.00961620525659479-0.02655493224986973j),(0.08571892546344584-0.14050588802362143j)
48,(-0.19027079284916304+0j),(-0.003378035176450009+0.22197294686493538j),(-0.13923257962664248-0.08603962599186504j),(0.18411293935791523-0.22426310131950106j),(0.01076516411372048+0.7741936531378389j),(-0.10614423976179695+0.11868003538765487j),(-0.2074347799640278+0.042190001653860415j),(-0.0891944901386771-0.05680251788503979j)
49,(0.21516623386905168+0j),(0.02151973542916814+0.24671706921328349j),(-0.06492752312835949-0.14030856272361109j),(0.13001020398428573+0.005678967560472682j),(0.3199281558126603+0.9481864790000196j),(0.2160534081590997+0.13960671745446157j),(-0.07145127185008218-0.048611989462878466j),(0.004405661980581356+0.04589045149949782j)
50,(0.17999664505202206+0j),(0.01838777294122206+0.07016545035270248j),(0.002197338929059184-0.01155735877384842j),(0.2011614955631418-0.09365207941890422j),(0.33910219606122805+0.8536847608441689j),(0.17192080611504945-0.047464676461381916j),(-0.047166928066235785+0.00381169877501647j),(0.13928548123978995+0.03869321597598687j)
51,(0.17110698669529684+0j),(0.02802411902182305+0.02892930933088486j),(0.035124890831147504-0.22336407332894306j),(0.10110362555697282-0.1519886278870904j),(0.5722048705195075+0.7759233093360326j),(0.17379939239009645+0.17009678099517644j),(0.20479051883046526-0.04430894199521489j),(0.01626342615385394+0.08917074785741656j)
52,(0.062016622058974485+0j),(0.13711425251625364-0.08866786546810002j),(-0.09207657863104546-0.06259142943087831j),(0.011652428601183169-0.18914163291706873j),(0.5322633499401774+0.7940364008909111j),(0.3033673717506438+0.12203454068726194j),(0.13688793958146142-0.015539641100261542j),(0.07818610213476508+0.06005647793348456j)
53,(0.12621966517795932+0j),(0.11328197556195396-0.06521118701492291j),(-0.05188517693679747+0.044903564055326355j),(0.20294090181903096-0.2503073307901083j),(0.5763046981202871+0.7495204844373716j),(0.1942798634441622-0.12483196086942194j),(0.060129459722431264+0.06443521839182415j),(0.029703803140983455+0.046518692707472706j)
54,(-0.28224991144254585+0j),(0.07817538486562756+0.07344948989719632j),(-0.08775313979031274-0.08320327020232424j),(0.16445589006198236-0.17339432189586412j),(0.5977272151028805+0.7604267810227584j),(0.27234081251247105-0.20586774380343104j),(0.10671480337690611+0.033493437541077226j),(0.1145330500579976+0.039597997817580874j)
55,(-0.05287919564913206+0j),(0.020618242346240448+0.053977171828880774j),(-0.07123968928544729-0.0435454416925368j),(0.38653114362773106-0.18781711264434037j),(0.6595298465257815+0.5384659904358873j),(0.16540886761028933-0.12318779670119015j),(0.003803429140526569-0.09659261815718154j),(-0.011096401696925003+0.10580356186135437j)
56,(-0.18595130129556686+0j),(-0.05320463219360834+0.059266011090198356j),(-0.17941437197816235+0.04579556578123523j),(0.2920980316209463-0.1552408753847004j),(0.7815312700714201+0.7569682822125543j),(0.11578739440385531-0.19691061822579572j),(0.0011172428110465676-0.06811891115331949j),(0.010921280772365576+0.1678258254849336j)
