,amplitude,c_-4,c_-3,c_-2,c_-1,c_0,c_1,c_2,c_3,c_4
0,(0.3920388374793804+0j),(-0.04473473151595169-0.09113721884114476j),(-0.09424320127537782+0.06606655917123556j),(0.11888041292992932-0.130954682157569j),(-0.07228317722967281+0.11101236476861859j),(-0.5763794082760116+0.31239299209982463j),(-0.13960146755707523+0.22974885922086408j),(0.004799735150398322+0.011986387420240989j),(-0.01150810105196828+0.09447523888738235j),(0.018210885047772067-0.039956542770179806j)
1,(-0.11960120359622642+0j),(0.13138111191940793+0.08409206981026503j),(0.004660236259881011+0.023439653567452083j),(0.3003930464048522-0.07999544957905642j),(-0.35125874077849817+0.14826972771004832j),(0.11111443657569413+0.5743768322776653j),(-0.08310346546808546+0.430871315876579j),(-0.0347588859678427+0.015578881423070848j),(0.04930664030435157+0.010780514711948928j),(-0.047930997334272474+0.03292555002902636j)
2,(0.1279673208621612+0j),(-0.030598501698588004-0.09502393993151065j),(0.07109893756912833+0.08680523885173011j),(0.2367760942386532-0.09892805766105048j),(-0.20742777653886696-0.007897277837675715j),(0.38628630193720714+0.2675857165702142j),(-0.24238440987055268-0.017872669287806668j),(0.2067980390690191-0.07394771934620264j),(-0.0003331728816033247+0.09768576402470035j),(-0.07135075088058825+0.09126634587612512j)
3,(-0.17524066726145424+0j),(0.056873871588818285-0.07710267772535054j),(-0.2401177083891701-0.06873797058509512j),(-0.004427672702187829-0.11483808598461437j),(-0.10174473991345528+0.23674004238030139j),(0.05315327586238795-0.5336841361433539j),(-0.41305874564954076-0.22004080877023274j),(-0.02499568868147102-0.054838693116169956j),(0.0749995861767441-0.14354918274667286j),(0.03601473225436215+0.042970728912684386j)
4,(-0.3496081968101623+0j),(-0.11399205082994414+0.13814817215189135j),(0.032786146801527485-0.08405058164441778j),(0.09556595916001956-0.08538187091529527j),(-0.24620697408209952+0.1988674302542601j),(0.9109691604518252-0.4392583066156435j),(-0.1544564270567389+0.05715857322465838j),(-0.10967977923832871+0.07106902187961311j),(-0.05919904825678767-0.048656069068924716j),(-0.003841722459831746-0.016354307171437238j)
5,(0.3660417846006915+0j),(0.051984928802901745-0.11364110109968933j),(-0.15110449344294888-0.008571258806079778j),(0.1894702768901912-0.012534350935827464j),(-0.11823599037146519-0.260498138508945j),(0.18644826817350485+0.20748709634678456j),(-0.20936724075364094+0.39957892370250225j),(-0.036508494217076415-0.014873786074218562j),(0.016728686024934596+0.008927731521402804j),(-0.08511120973090058+0.14592578083349148j)
6,(-0.6873143359925962+0j),(0.044161282190962506-0.009189527657068439j),(-0.017267678815297224+0.08766875620209075j),(0.08475624518945335-0.08989194177152521j),(-0.04207461521743412-0.7065828116448712j),(-0.1584198046789619+0.5666397559313942j),(-0.2551419819335887+0.021617344658021766j),(-0.0027647025140415185+0.1446561211791262j),(-0.028850537147290134-0.00390201835607389j),(0.01968238788904296+0.024744992830337084j)
7,(0.25515088854273477+0j),(-0.04627187976286651+0.04937540526030063j),(0.0667525152555434+0.13285512197480423j),(0.22153535117160816-0.022427851918252244j),(-0.3465464569651436-0.5843222614529463j),(0.021395927412416627+0.47586722258988884j),(-0.041567404286061704+0.302856117206j),(-0.0439462965222394-0.1418203196240252j),(-0.02291650259240675-2.8879310187343576e-05j),(-0.14113840603065123-0.0681211923342519j)
8,(-0.39777103645221873+0j),(-0.024163103187895548+0.03837532633294834j),(0.13966599234269472-0.07237356000059604j),(-0.14453435830082212+0.13038556793333325j),(-0.3587502828721949-0.47290327186097025j),(0.6532067796381545+0.1567537899750125j),(0.10179394889298038-0.1695866992461024j),(-0.017564079361180537-0.05462365330095926j),(-0.007294679810246122+0.1390676106499506j),(0.021493943088374406+0.114550728970409j)
9,(-0.21337286056131244+0j),(0.07907922844800623+0.05817977854235352j),(-0.013366706560092805-0.023586856375115116j),(-0.13962236699954295+0.037952905904625744j),(-0.32713106207734427-0.31549499847708123j),(0.3220508516169786+0.5420058886320623j),(0.28098851662483293+0.09244731601477867j),(0.13442767932641483-0.16621880201215194j),(0.12300505632078973-0.015179694670804973j),(-0.043707284483247566+0.04867296762117745j)
