,amplitude,c_0
0,(0.6803414488621041+0j),(-0.08391191168089479+0.032001789119920396j)
1,(-0.020281146710246944+0j),(0.08145374364297706+0.3754067312046284j)
2,(-0.374879496004743+0j),(0.20360496143752407+1.0491168739342138j)
3,(-0.2778922968248106+0j),(-0.23985573441183666+0.6937914810956003j)
4,(-0.6017679945639418+0j),(-0.4912071274195845+0.8357842285188763j)
5,(-0.04461759272607946+0j),(-0.4284682898880904+0.9366638345313101j)
6,(-0.197408074648545+0j),(0.01718241155139502+0.7195732333084142j)
7,(0.5056085031837761+0j),(-0.25836396094882635+0.8663133694695544j)
8,(0.1421786214960276+0j),(-0.023386694459314017+1.024685099769762j)
9,(-0.30232217506515696+0j),(0.16831112002680143+0.7178499140100676j)
10,(0.162658221550705+0j),(0.13682594207794957+0.7839657344362868j)
11,(-0.08455603944999757+0j),(-0.11083734513904475+0.7998808768250117j)
12,(0.5535724331143206+0j),(0.9620787529141753-0.5961584776984231j)
13,(0.2965214060001497+0j),(-0.30472767071973594-0.9126990736967389j)
14,(-0.15316926745376325+0j),(-1.0308755506056722-0.33650905635476536j)
15,(-0.19474171470435075+0j),(-0.2278206449768569-0.9229756438564617j)
16,(-0.6116191015799841+0j),(-0.49595877338130695+0.8861782126040137j)
17,(-0.19486090599854566+0j),(0.886623967389816+0.7303222060909397j)
18,(0.07404296616772159+0j),(0.9058123674922988-0.4845809039003393j)
19,(0.25121636617971216+0j),(0.6146826223965662-1.0358263860165544j)
20,(-0.1538247776734572+0j),(0.44916047366446354-1.0216105581416757j)
21,(0.2472278836065023+0j),(-0.36662753897009315-1.0700735570410167j)
22,(-7.959756980518984e-05+0j),(0.23193378257672181+0.8139174919789751j)
23,(-0.5458851215427286+0j),(-0.5299201913726543-0.8385464099384812j)
24,(-0.3983900039750196+0j),(-0.7057190931335326-0.5042801550408674j)
25,(-0.5219052698225984+0j),(0.8468283469991859-0.01892214665777775j)
26,(-0.1710856989311752+0j),(0.39907984434770816+0.8562975623588442j)
27,(-0.32401604661960526+0j),(-0.6365352095776058-0.3290263835870845j)
28,(-0.48602921560943174+0j),(-0.98139606022208-0.3299531109914483j)
