,amplitude,c_-6,c_-5,c_-4,c_-3,c_-2,c_-1,c_0,c_1,c_2,c_3,c_4,c_5,c_6
0,(-0.1294806172697845+0j),(-0.015004848043221058+0.017449522391678823j),(-0.00047367013788253274+0.0009103204014406081j),(0.022174024632645558-0.006504403062577419j),(0.02000004573310582+0.0004424264684866297j),(-0.03878632239109029+0.09132458624058318j),(0.010496739091520798+0.09769642183081928j),(-0.007395542610625935-0.07752390934069041j),(-0.05739554661632205+0.08688621176297266j),(-0.1774774590479092+0.1193914927719008j),(-0.1468647407172662-0.030584851851411823j),(-0.004955681814666229+0.014305801166936865j),(0.008104048041094148+0.01610836325010642j),(-0.001144726638317165-0.016128249280052707j)
1,(-0.23971518202948067+0j),(-0.015003861931095331+0.017427270788263564j),(-0.000595292133204949+0.0004872190075728871j),(0.0222150839601892-0.006560172075760243j),(0.019968599976170506+9.504931413427113e-05j),(-0.03888479011201233+0.09153893331451385j),(0.010648822399277388+0.09749587044858923j),(-0.007349350123780947-0.07778280965553179j),(-0.05741216774742174+0.08678924124569126j),(-0.17722471483155633+0.11934383417198124j),(-0.14714488929077407-0.03068352410762329j),(-0.004969161743514188+0.014322941095271617j),(0.008261577213714353+0.015876081482664204j),(-0.0012124119016904027-0.016189103895833546j)
2,(-0.6408318972670904+0j),(-0.014829065242635388+0.01703836482432507j),(-0.0007542211074946288+0.0003879812907085947j),(0.02237253835154316-0.006485860316440009j),(0.019671876573971497+0.00025532255014646765j),(-0.0392191535815475+0.09176515336931348j),(0.010685204046366496+0.09746516551889206j),(-0.007225553514630583-0.07779516344531773j),(-0.05763948425210078+0.0870002564712923j),(-0.17743149644558734+0.11919427320441024j),(-0.14715150081511397-0.0302875366856273j),(-0.004986157993403584+0.014412959599015751j),(0.008629469066528062+0.01616760690904614j),(-0.001346486566749646-0.01635121737843412j)
3,(-0.5585089940944563+0j),(-0.014642182986117759+0.01697450353632339j),(-0.0007182714100137414+0.0003127549058269366j),(0.022874021796037335-0.00645538288384104j),(0.019613228334072336+0.0007377323713534261j),(-0.03973750851050184+0.09182717511649244j),(0.011137021369263233+0.09780590883122812j),(-0.00704849065396152-0.07761634008377573j),(-0.057870869037316613+0.08629373192700227j),(-0.1768349691835336+0.11969335023316857j),(-0.14727297157173908-0.030010437019388242j),(-0.005228526266747609+0.014223287119382j),(0.00809047007168259+0.016765112470008305j),(-0.0012578797947330898-0.01590000179758754j)
4,(0.27076647223056316+0j),(-0.014307866210599042+0.01708689363821563j),(-0.0010521247866934792+0.0004424147280585526j),(0.022749586902786282-0.006108016814022365j),(0.01980070893289636+0.0013243534280531909j),(-0.039295672258289574+0.09149699947193j),(0.011029461470213699+0.0969652910350355j),(-0.006269008307787804-0.07751332945230517j),(-0.05781027909760716+0.08601895642032059j),(-0.17689921960775318+0.11931461840175835j),(-0.1476366260339948-0.030163101847252495j),(-0.005034399375638521+0.013692130508443008j),(0.008280242891772493+0.01683523339625116j),(-0.0012235253874461917-0.015245751225070705j)
5,(-0.23426567939842463+0j),(-0.014101333762163992+0.017873155647991867j),(-0.0010953256504044181-0.0011091419561295782j),(0.022649800739249826-0.006058380597643156j),(0.0198998316137722+0.0015794479482596903j),(-0.039131306925833914+0.09139482615041879j),(0.012732418616527671+0.09619611563007437j),(-0.00682725332661456-0.07818024832392995j),(-0.05740361425036885+0.0859652717665162j),(-0.17670904786297748+0.11945110059460715j),(-0.14760152978325763-0.030002789128406305j),(-0.006471059210800847+0.01293442980825601j),(0.007855718179192579+0.016963112280417733j),(-0.0003819245864498383-0.013953136174200706j)
6,(-0.48581319725042393+0j),(-0.013271735486526747+0.017840576079422597j),(0.00010190755904071935-0.001202743864429452j),(0.023026512281960728-0.00548248835052333j),(0.020394786554766085+0.0015467456906936947j),(-0.03927854734282448+0.09183437728053558j),(0.012685135553513376+0.09478102787204579j),(-0.0072040554614175144-0.07697667348008413j),(-0.05850167791848179+0.08562940548207595j),(-0.17885046925618497+0.12015720141096231j),(-0.1486983028248376-0.029047374209945787j),(-0.0064507998526754035+0.011728732234339952j),(0.007066712862279206+0.016462360998497988j),(0.0001545638825134557-0.014763988528934494j)
7,(0.09585636566322259+0j),(-0.014147171906771984+0.01832381339203472j),(0.0013587689879943081-0.001767570862392125j),(0.022250159602144826-0.005532465980741496j),(0.018534946933952495+0.00033913248058263686j),(-0.04041304190306536+0.0925851275215456j),(0.011919617995915309+0.0935582329405395j),(-0.008582560505225196-0.0766768286883941j),(-0.05902936629087932+0.08452497142640608j),(-0.18112180815157494+0.12018872681888608j),(-0.1489956945074449-0.026562079379892845j),(-0.007039674311588962+0.013124937380957864j),(0.007568850722198289+0.015417905564905701j),(-0.00044970246533111594-0.017145152863234894j)
8,(0.10328591879590332+0j),(-0.014580461793138233+0.018821922223834758j),(0.002275660125264169-0.0025702390673410535j),(0.02232053169109527-0.005623170258667297j),(0.02119126843626754+0.0015148047408955825j),(-0.040741789589418625+0.09229257569241613j),(0.009686421139605727+0.09265163350976321j),(-0.011162462127032834-0.07594231277119248j),(-0.05852750960797581+0.08385563578179164j),(-0.1805086241707452+0.12180151867800733j),(-0.14898262408700352-0.027446845146898956j),(-0.007237684665278701+0.013604944095240983j),(0.005270718077345979+0.016590125330244423j),(0.00025826498565470056-0.01859922449022153j)
9,(-0.1671968875882172+0j),(-0.01695440386431019+0.017032949267391868j),(0.003702956763050336-0.003653394832812095j),(0.023133704221150533-0.004506353935127459j),(0.021404400380346952+0.0036047450086673476j),(-0.042280495383105146+0.09145535372124027j),(0.007720469946313804+0.09405468815607794j),(-0.012586249995426218-0.07518050552086888j),(-0.05942043493329262+0.08710732734755126j),(-0.1802682882096621+0.12136690357018638j),(-0.15163947642224493-0.026954916915027834j),(-0.009088868737326778+0.014700351336386041j),(0.002602896245467167+0.01805778222487511j),(0.002400772177122197-0.022862611987351733j)
