,-5,-4,-3,-2,-1,0,1,2,3,4
0.05,16,64,0,7,0,452,0,14,68,82
0.15000000000000002,16,13,1,3,7,0,1,12,31,13
0.25000000000000006,12,1,5,36,0,30,26,11,201,624
0.35000000000000003,2,15,2,733,2,763,355,299,46,134
0.45000000000000007,0,549,215,720,241,0,43,5,32,176
0.5500000000000002,20,625,760,761,177,72,63,23,138,141
0.6500000000000001,21,374,769,0,67,184,7,200,45,36
0.7500000000000002,194,355,387,15,244,140,10,0,323,18
0.8500000000000002,749,711,0,23,16,176,75,22,0,0
0.9500000000000002,192,717,360,5,115,7,3,79,1,28
1.0500000000000003,35,659,103,10,59,59,3,72,61,16
1.1500000000000004,344,472,74,2,370,21,4,83,21,1
1.2500000000000002,18,565,133,46,14,13,307,8,0,11
1.3500000000000003,102,548,337,8,24,161,25,5,10,1
1.4500000000000004,9,703,78,3,39,139,14,0,22,18
