,abs_amplitude,amplitude_squared,abs_c_0
0,2.659821339250934e-06,7.074649556734632e-12,0.0
1,3.747343820441427e-05,1.4042585708600547e-09,0.0
2,1.887157627553161e-05,3.5613639112320753e-10,0.0
3,3.168384113928885e-05,1.0038657893396926e-09,0.0
4,4.6219113491043466e-05,2.136206451897956e-09,0.0
5,6.0499896545928024e-05,3.660237482067994e-09,0.0
6,3.596206844415978e-05,1.2932703667824329e-09,0.0
7,2.5304765945727986e-06,6.403311795680748e-12,0.0
8,3.0827818038910924e-05,9.503543650402018e-10,0.0
9,2.2556572145577198e-05,5.087989469586292e-10,0.0
10,2.9080606827337046e-05,8.45681693446162e-10,0.0
11,4.274328133244766e-05,1.8269880990647686e-09,0.0
12,3.5640440159896755e-05,1.2702409747911814e-09,0.0
13,2.4194908017176964e-05,5.853935739596541e-10,0.0
14,1.2150262417918467e-05,1.4762887682428192e-10,0.0
15,1.2150262417918467e-05,1.4762887682428192e-10,0.0
16,1.7102661144719728e-05,2.925010182311059e-10,0.0
17,1.7102661144719728e-05,2.925010182311059e-10,0.0
18,3.0326124313087677e-05,9.196738158528475e-10,0.0
19,1.9057391523671296e-05,3.631841716864986e-10,0.0
20,4.35948164811682e-05,1.9005080240267346e-09,0.0
21,3.359570364440313e-05,1.128671303362562e-09,0.0
22,1.2461790962274845e-05,1.55296233987435e-10,0.0
23,2.3620990433231314e-05,5.579511890468053e-10,0.0
24,6.394219026616542e-05,4.088603696034499e-09,0.0
25,2.870795590198963e-05,8.241467320705813e-10,0.0
26,2.993542325027452e-05,8.961295651730763e-10,0.0
27,2.67597751663698e-05,7.160855669546619e-10,0.0
28,2.119833161989836e-05,4.4936926346718263e-10,0.0
29,4.302804441661745e-05,1.851412606318404e-09,0.0
30,3.3775241484905775e-06,1.1407669373637e-11,0.0
31,3.3775241484905775e-06,1.1407669373637e-11,0.0
32,5.394252062996644e-05,2.9097955319143546e-09,0.0
33,2.626275407246821e-06,6.897322514709456e-12,0.0
34,1.0321435458417848e-05,1.0653202992228525e-10,0.0
35,2.4965831217773488e-05,6.232927283943532e-10,0.0
36,2.3520452969440706e-05,5.532117078876722e-10,0.0
37,1.786472310478415e-05,3.1914833161060863e-10,0.0
38,2.651426195107533e-05,7.03006086810241e-10,0.0
39,1.3185144820819308e-05,1.738480439459782e-10,0.0
40,6.73077747704804e-05,4.5303365445537176e-09,0.0
41,8.148690647559625e-06,6.640115926962571e-11,0.0
42,8.815822980064789e-06,7.771873481583841e-11,0.0
43,1.615323791908058e-05,2.6092709527042275e-10,0.0
44,2.7985783788218184e-05,7.832040942408957e-10,0.0
45,7.045335765379646e-05,4.963675604693759e-09,0.0
46,1.8307315385611408e-05,3.351577966282442e-10,0.0
47,2.3400970235659992e-05,5.476054079702448e-10,0.0
