,abs_amplitude,amplitude_squared,abs_c_0
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,5.825698245268373e-06,3.3938760044923006e-11,0.0
6,5.825698245268373e-06,3.3938760044923006e-11,0.0
7,5.825698245268373e-06,3.3938760044923006e-11,0.0
8,1.163668110994726e-06,1.3541234725460339e-12,0.0
9,1.163668110994726e-06,1.3541234725460339e-12,0.0
10,1.163668110994726e-06,1.3541234725460339e-12,0.0
11,1.163668110994726e-06,1.3541234725460339e-12,0.0
12,1.163668110994726e-06,1.3541234725460339e-12,0.0
13,1.163668110994726e-06,1.3541234725460339e-12,0.0
14,1.163668110994726e-06,1.3541234725460339e-12,0.0
15,1.1423975895897642e-05,1.3050722527005034e-10,0.0
16,1.2726020513874856e-06,1.6195159811956366e-12,0.0
17,4.5379722425178144e-06,2.0593192073862163e-11,0.0
18,3.6348698185768575e-06,1.3212278598000957e-11,0.0
19,3.6348698185768575e-06,1.3212278598000957e-11,0.0
20,3.033587092695559e-06,9.202650648969095e-12,0.0
21,1.6202511199615812e-06,2.6252136917367585e-12,0.0
22,3.0862436414772514e-06,9.524899814558764e-12,0.0
23,3.0862436414772514e-06,9.524899814558764e-12,0.0
24,8.078378077950282e-06,6.52601923703077e-11,0.0
25,9.97006247385809e-06,9.94021457326333e-11,0.0
26,9.97006247385809e-06,9.94021457326333e-11,0.0
27,8.848025900235359e-07,7.828756233123574e-13,0.0
28,2.4831466664174107e-06,6.166017366939899e-12,0.0
29,7.568531738775107e-06,5.728267268084615e-11,0.0
30,4.594170751786639e-06,2.1106404896571812e-11,0.0
31,1.1767042451833506e-07,1.3846328806325188e-14,0.0
32,1.1767042451833506e-07,1.3846328806325188e-14,0.0
33,1.1767042451833506e-07,1.3846328806325188e-14,0.0
34,1.1767042451833506e-07,1.3846328806325188e-14,0.0
35,1.2619246236496952e-05,1.592453755773425e-10,0.0
36,7.894424873712377e-06,6.232194408668868e-11,0.0
37,1.7477723713661345e-06,3.0547082621108012e-12,0.0
38,4.2453126381911365e-06,1.8022679395985387e-11,0.0
39,2.2965657855650786e-06,5.274214407428146e-12,0.0
40,5.85434352456571e-06,3.4273338103624466e-11,0.0
41,2.600496902312402e-06,6.7625841389363996e-12,0.0
42,3.3665881654707473e-06,1.1333915875887691e-11,0.0
43,2.9500079969162693e-06,8.70254718186994e-12,0.0
44,2.9500079969162693e-06,8.70254718186994e-12,0.0
45,2.2406405567394703e-06,5.0204701045057634e-12,0.0
46,1.3661339052528698e-06,1.866321847081457e-12,0.0
47,2.503329530427547e-06,6.2666587379106034e-12,0.0
48,2.908809629885978e-07,8.4611734629174e-14,0.0
49,3.9823025272424025e-06,1.5858733418481228e-11,0.0
50,2.8428146136482145e-06,8.081594927571847e-12,0.0
51,3.163240240992403e-06,1.0006088822233677e-11,0.0
52,2.4289717742099666e-06,5.899903879908713e-12,0.0
53,4.1682009118296876e-07,1.737389884137784e-13,0.0
54,8.448957861976653e-08,7.13848889534571e-15,0.0
55,1.7973697935107909e-06,3.230538174625023e-12,0.0
56,5.544147789342079e-06,3.073757471006666e-11,0.0
57,2.476795744564792e-06,6.134517160294261e-12,0.0
58,5.42895333871497e-06,2.9473534353944426e-11,0.0
59,4.278837594445807e-06,1.8308451159642782e-11,0.0
60,1.3643067788037615e-06,1.8613329866898956e-12,0.0
61,8.756654178769144e-06,7.667899240655511e-11,0.0
62,1.249646160098246e-06,1.5616155254482913e-12,0.0
63,4.347583950685216e-06,1.890148620825567e-11,0.0
64,7.578893841863031e-06,5.743963186622938e-11,0.0
65,7.471521614366927e-07,5.582363523395218e-13,0.0
66,1.1707320817712509e-07,1.3706136072884469e-14,0.0
67,6.787357891928058e-06,4.606822715311809e-11,0.0
68,3.975920902819704e-06,1.5807947025478655e-11,0.0
69,5.262839814107059e-06,2.769748290895042e-11,0.0
70,4.762579872339817e-07,2.2682167040416346e-13,0.0
71,3.882668274347234e-06,1.507511292862253e-11,0.0
72,3.804965579704074e-06,1.4477763062732758e-11,0.0
73,3.804965579704074e-06,1.4477763062732758e-11,0.0
74,2.7100468410187028e-06,7.34435388051545e-12,0.0
75,3.7805836105584513e-06,1.4292812436423176e-11,0.0
76,4.173272466545263e-06,1.7416203080024786e-11,0.0
77,2.4535850027675136e-06,6.02007936580566e-12,0.0
78,4.792798904647713e-06,2.2970921340392316e-11,0.0
79,4.663422827765378e-06,2.1747512470523236e-11,0.0
80,4.698574432361557e-06,2.2076601696441723e-11,0.0
81,5.60058286181898e-06,3.1366528392100474e-11,0.0
82,3.5196506415151412e-06,1.2387940638317945e-11,0.0
83,4.183886860533049e-06,1.7504909261741092e-11,0.0
84,2.204252997250662e-06,4.858731275888526e-12,0.0
85,3.177042065527725e-06,1.0093596286132673e-11,0.0
86,1.486125902714525e-06,2.208570198719062e-12,0.0
87,3.3231688588360733e-06,1.104345126433785e-11,0.0
88,5.643192912080447e-06,3.1845626242955e-11,0.0
89,3.714361805891866e-06,1.3796483625068285e-11,0.0
90,4.313100219541312e-06,1.8602833503807315e-11,0.0
91,2.696922603675195e-06,7.273391530214192e-12,0.0
92,2.7873249921993005e-06,7.76918061213883e-12,0.0
93,7.4232822211009785e-06,5.510511893411388e-11,0.0
94,7.599665284751445e-07,5.775491244025625e-13,0.0
95,2.1280363815172732e-06,4.5285388410611294e-12,0.0
96,1.7817370041120534e-06,3.174586751822195e-12,0.0
97,2.0760822343333948e-06,4.310117443714741e-12,0.0
98,4.7555187752622825e-06,2.261495882187208e-11,0.0
99,1.8771221096617926e-06,3.523587414581139e-12,0.0
100,5.834327856805678e-06,3.4039381540698735e-11,0.0
101,9.45326201306712e-06,8.936416268769783e-11,0.0
