,abs_amplitude,amplitude_squared,abs_c_0
0,0.0,0.0,0.0
1,5.996673791805134e-06,3.596009656532256e-11,0.0
2,5.996673791805134e-06,3.596009656532256e-11,0.0
3,6.220393480959403e-06,3.869329505796223e-11,0.0
4,6.220393480959403e-06,3.869329505796223e-11,0.0
5,6.220393480959403e-06,3.869329505796223e-11,0.0
6,9.820259496650487e-06,9.643749658155407e-11,0.0
7,8.463130009934625e-06,7.162456956505605e-11,0.0
8,8.463130009934625e-06,7.162456956505605e-11,0.0
9,9.018404100631916e-06,8.133161252229456e-11,0.0
10,9.018404100631916e-06,8.133161252229456e-11,0.0
11,2.0659940323743942e-05,4.268331341806609e-10,0.0
12,2.6377019426865242e-06,6.957471538452264e-12,0.0
13,2.6377019426865242e-06,6.957471538452264e-12,0.0
14,1.0479025702691158e-05,1.0980997967766191e-10,0.0
15,5.214043513006339e-06,2.718624975552349e-11,0.0
16,8.471645552625061e-07,7.176877836931197e-13,0.0
17,8.471645552625061e-07,7.176877836931197e-13,0.0
18,6.374141573293537e-06,4.062968079638901e-11,0.0
19,1.0504049639256059e-06,1.1033505882395535e-12,0.0
20,2.1748136981212705e-05,4.729814621535917e-10,0.0
21,7.2490455651678036e-06,5.2548661605879e-11,0.0
22,1.8720745465742477e-06,3.5046631079311752e-12,0.0
23,9.299639412225299e-06,8.64832931974141e-11,0.0
24,1.4716032677680453e-05,2.1656161777055893e-10,0.0
25,3.4020687030761576e-05,1.1574071460450288e-09,0.0
26,2.343863406476756e-05,5.493695668220823e-10,0.0
27,4.534338619527415e-07,2.0560226716537781e-13,0.0
28,6.290337162708079e-08,3.9568341620546325e-15,0.0
29,3.97994562497826e-06,1.583996717778359e-11,0.0
30,3.97994562497826e-06,1.583996717778359e-11,0.0
31,1.3904632750243062e-06,1.9333881191913195e-12,0.0
32,1.3904632750243062e-06,1.9333881191913195e-12,0.0
33,2.3548401706652817e-05,5.545272229378893e-10,0.0
34,8.532301514470045e-06,7.280016913382783e-11,0.0
35,8.11396925019216e-06,6.583649699306391e-11,0.0
36,1.2234733261520452e-05,1.4968869798055488e-10,0.0
37,5.110286196403075e-06,2.611502500914781e-11,0.0
38,1.5446115908919e-05,2.385824966717606e-10,0.0
39,8.588487078458847e-07,7.376211029685458e-13,0.0
40,6.232594782573947e-06,3.884523772376799e-11,0.0
41,1.3668157475309531e-06,1.868185287698598e-12,0.0
42,9.417451233667192e-07,8.868838773849972e-13,0.0
43,6.392725133294525e-06,4.08669346298555e-11,0.0
44,7.007638260212075e-06,4.910699398598812e-11,0.0
45,7.007638260212075e-06,4.910699398598812e-11,0.0
46,1.5847596758528087e-05,2.511463230209099e-10,0.0
47,6.1776638537228785e-06,3.8163530689594203e-11,0.0
48,3.317322475807854e-07,1.100462840849995e-13,0.0
49,1.201678374419834e-06,1.4440309155482946e-12,0.0
50,1.1979441322100438e-06,1.435070143896475e-12,0.0
51,8.384573453970034e-06,7.030107200501899e-11,0.0
52,6.698879899584037e-06,4.487499190905104e-11,0.0
53,6.095868304637625e-06,3.715961038748559e-11,0.0
54,6.765144510690996e-06,4.576718025053251e-11,0.0
55,1.0266939613503458e-05,1.0541004902732654e-10,0.0
56,9.892087711891894e-06,9.785339929976261e-11,0.0
57,2.396379944042824e-06,5.742636836210688e-12,0.0
58,4.861357378405252e-06,2.3632795560575184e-11,0.0
59,4.18512532909897e-06,1.751527402026576e-11,0.0
60,1.8434039014090268e-05,3.398137943730021e-10,0.0
61,3.02781550774487e-05,9.167666748940325e-10,0.0
62,1.5454820386826995e-05,2.3885147318908333e-10,0.0
63,4.779500350793893e-06,2.2843623603238945e-11,0.0
64,1.4778567929940011e-05,2.184060700598514e-10,0.0
65,1.1826039638470857e-05,1.3985521353068392e-10,0.0
66,4.578544936093678e-06,2.0963073731829065e-11,0.0
67,6.26694718953512e-07,3.9274627076422133e-13,0.0
68,1.1506593571705486e-05,1.3240169562441402e-10,0.0
69,7.680691099265637e-06,5.899301576233839e-11,0.0
70,1.5597260391092687e-06,2.432745317075488e-12,0.0
71,9.281162956541508e-07,8.613998582587831e-13,0.0
72,3.6395579373434e-06,1.3246381979279344e-11,0.0
73,5.462410119101126e-06,2.983792430925838e-11,0.0
74,4.148217488112155e-06,1.7207708328679518e-11,0.0
75,7.561781732604877e-06,5.718054297155681e-11,0.0
76,2.366551856651481e-06,5.6005676902205725e-12,0.0
77,9.07652596487459e-06,8.238332359104261e-11,0.0
78,1.582842010179642e-05,2.50538882918953e-10,0.0
79,4.515227478172631e-06,2.0387279179645176e-11,0.0
80,1.9072339838760895e-05,3.6375414692518597e-10,0.0
81,1.5288047774286914e-05,2.3372440474887905e-10,0.0
82,9.643137660136585e-06,9.299010393234449e-11,0.0
83,4.451865775139567e-06,1.9819108879859017e-11,0.0
84,1.0122516887622428e-05,1.0246534814020125e-10,0.0
85,3.1106086181215162e-06,9.67588597513185e-12,0.0
86,9.773936941466086e-06,9.552984333575541e-11,0.0
87,1.2900775367939466e-05,1.6643000509403367e-10,0.0
88,1.4216868752509183e-05,2.0211935712607202e-10,0.0
89,1.9422212085419998e-05,3.772223222910346e-10,0.0
90,2.112785432911975e-05,4.4638622855250414e-10,0.0
91,1.2031122177367443e-05,1.4474790084674273e-10,0.0
92,1.4258113949857489e-05,2.0329381340712072e-10,0.0
93,2.0865369926591815e-05,4.353636621735221e-10,0.0
94,9.63767411837056e-06,9.288476241190976e-11,0.0
95,1.2319496085476034e-06,1.5176998380005933e-12,0.0
96,1.2319496085476034e-06,1.5176998380005933e-12,0.0
97,1.4994277621165334e-05,2.2482836138057954e-10,0.0
98,1.5554074207283046e-05,2.4192922444566773e-10,0.0
99,1.5554074207283046e-05,2.4192922444566773e-10,0.0
100,2.28144460256214e-05,5.204989474559922e-10,0.0
101,8.1940495755186e-06,6.714244844605654e-11,0.0
102,8.1940495755186e-06,6.714244844605654e-11,0.0
103,2.4343860983898076e-05,5.92623567603355e-10,0.0
104,2.3288102954114165e-05,5.423357392014209e-10,0.0
