,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,(0.09561315633804829-0.05779666936534423j),(0.09270467755684593-0.05919784610303425j),(0.09160446483082117-0.05737234406106971j),(0.09203670579591959-0.055903073117263856j),(0.09507570917187438-0.056568865362121086j),(0.09994832172040853-0.05453169665090745j),(0.1028841787990766-0.05256372721622988j),(0.10383869409797436-0.056055164353526095j),(0.10064373238927189-0.05555078860077999j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09243934967157125-0.06047515018585981j)
1,(0.0906348052552177-0.06016610607701188j),(0.08898805020880872-0.05139002662242636j),(0.08400850679848584-0.047724995916841886j),(0.08817145510043957-0.04949843651919426j),(0.08917897910871195-0.05231385247529437j),(0.09189765836199924-0.051203066488323117j),(0.09840889447848833-0.054149849186405606j),(0.1037655143193779-0.05269915057038903j),(0.09996475983736679-0.05925382737923876j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.0966437471850661-0.06433445075687541j)
2,(0.09455103360751992-0.05755334712604101j),(0.09525854096269791-0.054499049742469025j),(0.09390393770940222-0.04829337852932246j),(0.09281084705895906-0.04435077507127408j),(0.09077734225261903-0.047793184371650456j),(0.09239616880543763-0.04666993965948311j),(0.09545655373294337-0.05179176639595356j),(0.10325325641231241-0.05164837193099602j),(0.1036258209490914-0.05603546201925294j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09570891994464457-0.06290960031084203j)
3,(0.1041530857017651-0.05847029995441836j),(0.09755720110492523-0.05580607663021724j),(0.1002122537433078-0.05260431896725241j),(0.1028651088085868-0.047517027368565445j),(0.09719512036833837-0.041120067320674254j),(0.09628236081226495-0.047142694048584254j),(0.09809749375404515-0.043032281520844956j),(0.10487658746233208-0.04769049576956987j),(0.10342983236582522-0.0542086600912425j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09987139024968524-0.06316445961115433j)
4,(0.10144778440061812-0.050472649683845856j),(0.1040013833426738-0.05211251264704711j),(0.09788840465094505-0.061038328644506805j),(0.10130036062006093-0.04822225786945879j),(0.09743959867644154-0.04493290474199504j),(0.09746333680664236-0.04365326949993458j),(0.09962219769291164-0.03989001636715326j),(0.10610255664969029-0.04532701112208142j),(0.10312386313622511-0.05162545537041057j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09882638020117353-0.05501697736923587j)
5,(0.09255510046748688-0.05047981290330353j),(0.10447762426015748-0.047888521874394636j),(0.10097923350379395-0.054247645391680414j),(0.09426454266305001-0.047863234749485215j),(0.09667287617938433-0.04748093549408412j),(0.09082545542856289-0.04529816617982732j),(0.09481572057622675-0.04663489606421791j),(0.1020236331440882-0.0489814629574588j),(0.09978115683594374-0.05689271802429866j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09477551193403491-0.052941853898818524j)
6,(0.10217443745888537-0.055027717401188614j),(0.10360615517345127-0.05107260498160902j),(0.09854157956926493-0.05556505508407741j),(0.09284526846192467-0.056541677352424095j),(0.09122680106701965-0.05210315494757228j),(0.0920646979322155-0.04906439820509809j),(0.09590747125310961-0.053704397457255165j),(0.09834764923020299-0.058303588273485196j),(0.0978928958821199-0.05776387929719655j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.10274193184432162-0.058964308201086224j)
7,(0.10276466493384291-0.05003491075840041j),(0.10363144777425598-0.04937386542232899j),(0.10351885131891925-0.05606178103351179j),(0.09491567156833575-0.058618046029510366j),(0.08854104571067152-0.05086798451882224j),(0.09332942389911467-0.05116388523140163j),(0.09428866563239188-0.057933822408358086j),(0.09610309523890181-0.05736523438601604j),(0.09631522930734152-0.057552787258039424j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09960957795201962-0.05310944535689469j)
8,(0.0965399416226955-0.04977276660469109j),(0.10031065787601798-0.054891134517171564j),(0.10290142023327066-0.05734609377516251j),(0.09792323149524296-0.06269351144863675j),(0.09196679756670306-0.05847244995910255j),(0.09515841159841508-0.05965005592568864j),(0.09787448224873539-0.05987982684232959j),(0.09986433612534626-0.060743956762223876j),(0.10091417614313707-0.05959110323739627j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.0976945504625529-0.05062360988400369j)
9,(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j)
10,(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j)
11,(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j)
12,(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j)
13,(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j)
14,(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j)
15,(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j)
16,(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j)
