,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,(0.09307157495685783-0.05898825938358391j),(0.09268125379070924-0.06940401045411022j),(0.09843417496891307-0.0678692761672921j),(0.08915936131820218-0.05357991676827325j),(0.08650021839456094-0.03447467596042359j),(0.07712784290228919-0.05851351151079363j),(0.09908915164089073-0.03986256605330714j),(0.0985520520657454-0.0574574948114644j),(0.1071883962035363-0.05386472520637323j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.10039524739877935-0.0583401036816875j)
1,(0.10147771633860245-0.052344915237768j),(0.09439308357727494-0.05315617842489908j),(0.09465441445445258-0.03952280720545697j),(0.08411557410804091-0.056742474352495j),(0.0811191106736065-0.04224580451859108j),(0.08593074113518259-0.04742554762015647j),(0.0917719866692823-0.05934887608825528j),(0.10378405380576514-0.05003856961491633j),(0.09045374603154861-0.06030321955615067j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1100258082308024-0.06397227645206141j)
2,(0.09015376057353329-0.05343305710746897j),(0.10687109266746418-0.04925240733001258j),(0.11391905161111661-0.03708341950458058j),(0.09522216667274512-0.03632758728111693j),(0.09232323306086195-0.04749470122986841j),(0.08205947671774519-0.043812825010155314j),(0.09647120107933872-0.04200042852974221j),(0.10308304765766982-0.05519652462860657j),(0.10672730203023097-0.06776296714237919j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.09513144797400631-0.06307096298972173j)
3,(0.10387171262827678-0.057323212419429455j),(0.10930073384020539-0.039880661830655084j),(0.10156164820652229-0.0413337053621634j),(0.09987024117507283-0.03984185879827168j),(0.08622515532964896-0.026517263555581535j),(0.09933226300113657-0.01611757483484959j),(0.09712876349717656-0.03230392767118584j),(0.1112751451668973-0.03830407764901959j),(0.0968811494779036-0.05897569145073308j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.09324717846694378-0.05319940623638381j)
4,(0.10936487048945229-0.0612000591154634j),(0.10538453228012143-0.05429399120391986j),(0.10756028736798084-0.03657848502849709j),(0.10536961084155218-0.052164361767233734j),(0.0937605318116971-0.04150023012975891j),(0.10079380155307116-0.04266163624253902j),(0.09201302189716573-0.03499785099398569j),(0.11094446714106085-0.034371234861599466j),(0.11954598110614327-0.04482454193405112j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.09711022788851512-0.06106343269203442j)
5,(0.09507088357890506-0.04215994944688033j),(0.10380735472556289-0.0408929594045172j),(0.09658474234732164-0.0310830222220986j),(0.07429096190391336-0.05402411336686645j),(0.1036784826572995-0.05368905778687285j),(0.10311934487594467-0.03760565379765017j),(0.10298367465401023-0.048970805633072864j),(0.11196495303779362-0.04510526785279302j),(0.114275145935767-0.051435961091693065j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.09454383074047228-0.04145821672648844j)
6,(0.10315182287445838-0.03838877321261827j),(0.09578414161614954-0.04509961322744213j),(0.08956657676578877-0.05426090928683056j),(0.10016034016438424-0.046028523409152915j),(0.08974931875142056-0.045025262650814656j),(0.08775298547861529-0.042046283308925694j),(0.09458536510122671-0.04933228937438508j),(0.09722658953693182-0.059749468412907784j),(0.1032716721348467-0.05134936543613539j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.0901986143536057-0.0407541958816583j)
7,(0.10084025191007433-0.04310274077788325j),(0.10127817836606509-0.046827154923801365j),(0.09906221685734497-0.052105147336192495j),(0.08675179027139494-0.06370532862223044j),(0.08485053403716238-0.054868060441217385j),(0.09675417717883958-0.04610972173854759j),(0.09124652612294579-0.060417003008849876j),(0.1110126765599059-0.05626046086860768j),(0.11381323315576257-0.053339337283074204j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.10218155635831719-0.05272649677861358j)
8,(0.09735503369416494-0.038371426057370955j),(0.0944369230734957-0.06140675976328929j),(0.09595448352510241-0.052006337150363666j),(0.09372071220132962-0.05230342583466922j),(0.0832148159356732-0.06529178485662858j),(0.08619860388134226-0.05902553688868261j),(0.11165285938309964-0.06524235880149418j),(0.09663067463467882-0.0701843047189679j),(0.10178099752355009-0.05742731969898503j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.09866934700367613-0.057364187996862256j)
9,(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j)
