,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,(0.10273194765531524-0.059689650200194795j),(0.09999999999999984-0.060000000000000095j),(0.0990443610867888-0.06206815960649477j),(0.09999999999999984-0.060000000000000095j),(0.10289779814701357-0.06198242609224873j),(0.10013395632360046-0.06342522870012528j),(0.09951816403834347-0.06178361670600806j),(0.09949569849097308-0.06004933769926819j),(0.09672553719144386-0.05776499574963116j),(0.09764874750139914-0.05894749364077879j),(0.09679788875729933-0.06210304076833148j),(0.09837266711254575-0.06544537679588557j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.10318750984478156-0.06047825358950646j)
1,(0.10171471478281482-0.06011090161718824j),(0.10384629484423709-0.06073980544842871j),(0.10166332477832893-0.060619294399153846j),(0.10072928250575464-0.059886356367304494j),(0.10309666091703906-0.0566290938530249j),(0.10464427359959648-0.06215284377442335j),(0.1021136532838286-0.061201682817408544j),(0.09999999999999984-0.060000000000000095j),(0.09754713750513982-0.056300133493777674j),(0.09787521753193786-0.06161032345745615j),(0.09803712475982836-0.06132414795949535j),(0.09748903399489144-0.06184919186818291j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.10479657774213934-0.061693354251086956j)
2,(0.09042563295327842-0.060933539311389444j),(0.10018753431991785-0.056472606266304695j),(0.10218176690133723-0.05466821508726591j),(0.10135777085031264-0.059109016425681324j),(0.10026315430045084-0.053819257215725946j),(0.10411285787818897-0.06100385631301914j),(0.09999999999999984-0.060000000000000095j),(0.09685371113691059-0.06463126559763009j),(0.09999999999999984-0.060000000000000095j),(0.09999790810483052-0.06082793400923521j),(0.09999999999999984-0.060000000000000095j),(0.1000357684246003-0.059310644441206616j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09583326162957369-0.0616463079620901j)
3,(0.09735719838128228-0.0629361977702308j),(0.10255998051220587-0.05839090061893852j),(0.09999999999999984-0.060000000000000095j),(0.09424872501764316-0.05611509140114096j),(0.09954422973586395-0.054815835598959854j),(0.09996774198876177-0.061813560355157206j),(0.1032674470304331-0.061860788843086205j),(0.10031409366379263-0.058665339022627876j),(0.09828847571038461-0.058921575706213446j),(0.09973274838792127-0.05845368904542143j),(0.10391995911169297-0.05771049205445756j),(0.09889190061648354-0.06023316252652719j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.10196346535557547-0.0623660000003051j)
4,(0.10268778260923302-0.061314546028220784j),(0.09991655083159547-0.05969065093526346j),(0.09621825914320739-0.060077093357153555j),(0.09936063602882984-0.0599312962623178j),(0.09937800041454199-0.05598362001420404j),(0.09694936036964416-0.057818279605926996j),(0.1013846626239306-0.06020808680721499j),(0.09999999999999984-0.060000000000000095j),(0.09814549915106568-0.0587168324678359j),(0.10107057494906448-0.05231372769097752j),(0.10374439596130172-0.05298318257516315j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.10371253460574638-0.060093095486942964j)
5,(0.10101535016599131-0.055823978578872245j),(0.10370255819795302-0.056277832265711786j),(0.09999999999999984-0.060000000000000095j),(0.09757572382238253-0.05957003380334345j),(0.10292392197134294-0.06006902468381296j),(0.09944800605470765-0.06424484521346796j),(0.10205438570217283-0.05916251862924529j),(0.10082082665721229-0.056977262907555254j),(0.10019600465507851-0.054899233585389305j),(0.09631275466957623-0.05541462288421177j),(0.09781593925737021-0.051113547060243764j),(0.09907627814347574-0.05550850426337617j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.10257734781129411-0.060753302609570035j)
6,(0.10393535291982689-0.05626114247490489j),(0.1011279733766149-0.059887565883543936j),(0.0976101729240647-0.058573415996678306j),(0.09797524992176591-0.06729852950708576j),(0.10485157888107223-0.05981617415314774j),(0.0994206483052548-0.057669220700278086j),(0.09961515939176803-0.05669175868909618j),(0.10068122709898385-0.058272855391484954j),(0.09999999999999984-0.060000000000000095j),(0.0991597691483999-0.0570924165984953j),(0.09932233840735204-0.053874172558847105j),(0.10144150163698583-0.05579681452693475j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.10300944389526753-0.06128219227869212j)
7,(0.10014005790456501-0.05951414003825237j),(0.1033920110927172-0.060822829364408554j),(0.10289500797672423-0.05588191474020722j),(0.09949361773661888-0.060851512782500845j),(0.10427854595026283-0.058848075258901j),(0.10251458054701013-0.056925406585902776j),(0.10214116977747166-0.05635467569622296j),(0.10134365900505882-0.060259383387851126j),(0.09764350269731499-0.06301364359717723j),(0.09975432594409134-0.05921086032464674j),(0.0950984687457656-0.055938838406833176j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09709013489904753-0.05585364725304611j)
8,(0.0986578571014064-0.05745615429291765j),(0.10053856777700247-0.058286171920823956j),(0.10110159768758044-0.06008801002704964j),(0.09856987896498418-0.06584257605969142j),(0.1015471111705137-0.06178928815803294j),(0.10115858653825692-0.058757962036955824j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.0980830073020361-0.06268657020821675j),(0.09999999999999984-0.060000000000000095j),(0.10099648335411265-0.058238768591100575j),(0.10265968745543044-0.061248763364351165j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.10301511822529523-0.05712253155154091j)
9,(0.09965477991859031-0.05976592618146586j),(0.10420357665988425-0.0531441389726117j),(0.10194363607968565-0.05620298854999886j),(0.10154327986142903-0.062007769193866406j),(0.10351560941410001-0.06035591970925901j),(0.10228220469372247-0.058666701280851656j),(0.10022796386838008-0.06098262237590421j),(0.0974186018085099-0.06257918539498868j),(0.10258891966716796-0.06247141224389718j),(0.10024214264153937-0.0615747675405139j),(0.10404255222382632-0.05991706694197387j),(0.10421847957132589-0.059830362745839874j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.10116197345561898-0.0639904792505788j)
10,(0.10065965554674425-0.0587074416627696j),(0.10313018414781457-0.05255329103967987j),(0.10488870331836847-0.05289838067116897j),(0.10862095589189559-0.06253106694025076j),(0.1101700512556427-0.05901960971668565j),(0.09791227875543553-0.05895972959924308j),(0.1038046739209119-0.05808085890235694j),(0.09946741296814594-0.059669005150791966j),(0.09607556695336292-0.060289100791751614j),(0.09835753737151139-0.057447859466290045j),(0.09992367078749195-0.06383616719046686j),(0.10209876268253497-0.06014702356518656j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j)
11,(0.09890055924372844-0.060195387887467644j),(0.10076098400580898-0.06027690869127139j),(0.09959428372855439-0.05670524840977614j),(0.10543562583539129-0.061341465706505414j),(0.1084895878602465-0.06274512966535908j),(0.10371965228314049-0.05795312014323592j),(0.10708967070000965-0.061677359089474706j),(0.09999999999999984-0.060000000000000095j),(0.09987849090637614-0.059981284606441615j),(0.09572806006971603-0.06138180848318822j),(0.09707022495770216-0.06409788810945054j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09969769207204551-0.05871698432386617j)
12,(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j)
