,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,(0.09553573907528284-0.0565021279435061j),(0.1-0.06j),(0.10363770392960767-0.06849578068987547j),(0.1-0.06j),(0.10052783740275018-0.06218417182758388j),(0.10037107014847746-0.06948816814439156j),(0.09783282176166674-0.06802226404501291j),(0.09258380133784042-0.06072555440100087j),(0.09410360838795472-0.05597538250233704j),(0.09612692693656089-0.060087527558980454j),(0.09420472207492299-0.05916143060788149j),(0.10279414126970311-0.061519435067432474j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.10479073685945482-0.06044384884539758j)
1,(0.10405582017400336-0.06054325674432451j),(0.09693161117016898-0.056854591840924014j),(0.10299851430978009-0.06203849975553015j),(0.1063785641902754-0.05900603236709344j),(0.10187137500412763-0.05980568585045174j),(0.10737423571329514-0.05467174606416806j),(0.10505028669034955-0.06278725402869426j),(0.1-0.06j),(0.0958666546546597-0.053376236947288505j),(0.09657880102497952-0.06085506240293022j),(0.09317998520065525-0.06361895991265919j),(0.09870789864628565-0.06201687230847008j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.10672143251335627-0.06251277347747876j)
2,(0.10139483806438075-0.07152961003548654j),(0.1000274400305029-0.05560128499584935j),(0.10262126580056613-0.053594171110051055j),(0.10175498171087423-0.05884836246318141j),(0.10000509544033075-0.05241733971994687j),(0.09945119518926891-0.0602304291497695j),(0.1-0.06j),(0.09431655222310287-0.0634946724458025j),(0.1-0.06j),(0.09511835353103963-0.06623167640717774j),(0.1-0.06j),(0.10026300312206239-0.054931209126518644j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.09919508407511074-0.06936018195043096j)
3,(0.0995050522550255-0.05681746686085739j),(0.10212190113783705-0.05594222650551841j),(0.1-0.06j),(0.09344435856363856-0.06223138681112616j),(0.10062984693365182-0.054477063609269474j),(0.10078488719148132-0.06250730948090231j),(0.10297104161893401-0.060778609698036376j),(0.09989928281019289-0.057260911708175086j),(0.09708097051231036-0.058160731733166514j),(0.09159521103408862-0.061755948894054453j),(0.09772480116823012-0.06316754270416247j),(0.09698886037087903-0.06063359382208465j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.10400330750658866-0.06461031610696548j)
4,(0.10404786537535089-0.06197973799430835j),(0.09829695574684975-0.053686753780885485j),(0.09633895444131753-0.05592845529856386j),(0.08871710639111707-0.05878758109972464j),(0.09872083948627715-0.054380396229834725j),(0.09778597468678135-0.05582753121347601j),(0.09634946599038252-0.062291361073110486j),(0.1-0.06j),(0.09701759895728207-0.06072283918012358j),(0.0890397356773884-0.05261276103946324j),(0.10086160448314434-0.05522159907941858j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.10412962692519066-0.06010355449048163j)
5,(0.10215415631797765-0.056238024146485245j),(0.10395290910813482-0.0560261554438205j),(0.1-0.06j),(0.09332048896701553-0.0572119049770419j),(0.10416021679962975-0.05905458895725111j),(0.0957188738315418-0.05058437246268426j),(0.09764356139375516-0.05937615311243363j),(0.09840322856816662-0.05778114541787432j),(0.09860951272170972-0.054350798457280636j),(0.09757908363108381-0.055624275772959794j),(0.09768474126223005-0.050579731865982705j),(0.09789329908513739-0.052179881919545826j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1041632871717246-0.06094049554243749j)
6,(0.1057796108266818-0.05498414124002956j),(0.10425810849993714-0.05425501546904061j),(0.10040213760030382-0.06725921847304552j),(0.09776764048706311-0.06804689030549685j),(0.10780642422163184-0.0631263841692272j),(0.09813929753944756-0.0557847826542763j),(0.09940334789421404-0.054870943704024934j),(0.10312205209136564-0.05856339567554707j),(0.1-0.06j),(0.09939498756954608-0.05507183725418299j),(0.10309338866071097-0.056637559840784606j),(0.0939721547172459-0.05695363564738404j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.10132317120210464-0.06311532820708655j)
7,(0.10269785352495482-0.049808096534243854j),(0.10464010915098819-0.05959680689526166j),(0.10441683950805568-0.060437257222563025j),(0.09738528951782639-0.06439679577883332j),(0.10653117209126503-0.055080422818655196j),(0.09517189439507823-0.050615747913140156j),(0.100704178360124-0.05295386352215085j),(0.10184766504533056-0.06052292729040267j),(0.09468766989038231-0.06453688566045988j),(0.09933544867747955-0.056173235497660214j),(0.09420165861092146-0.05519578675887229j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.09731114093536886-0.05322971145304469j)
8,(0.09517412978202026-0.0572545334071423j),(0.10839521002228086-0.05831076597702393j),(0.10524378615196511-0.06193490207494793j),(0.09833899995933126-0.06678580262449632j),(0.10040644959426093-0.062275010333510857j),(0.10676573120787444-0.05925179144934791j),(0.1-0.06j),(0.1-0.06j),(0.09718089309122972-0.06395083854149529j),(0.1-0.06j),(0.1024259082917334-0.05541231006807176j),(0.10644885904305522-0.06560109538914878j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.10358800264811034-0.05657580113233747j)
9,(0.09810318636588164-0.058713880117944844j),(0.09885692702895217-0.052567736864829344j),(0.09812062477725962-0.05676383031228457j),(0.1030849865006181-0.06068357918782489j),(0.10330119099085013-0.0561572493248954j),(0.10288103469810349-0.05526512248635184j),(0.10256880730396967-0.062007856688489224j),(0.09383272805391864-0.06716268133362001j),(0.10241568212337339-0.06567439593100848j),(0.10230295099194153-0.06551927673969984j),(0.10692541350299503-0.06220585241174869j),(0.10500214968931912-0.059798849105739016j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.1-0.06j),(0.10897782635817266-0.060145893355315505j)
