,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,(-0.025775858426247716-0.002054359845975105j),(-0.0008248912759689461+0.004828240868637693j),(-0.004023193817684284+0.001874406101108753j),(-0.01042119892349587-0.007469320052610441j),(-0.023820538006034855-0.009766663370830425j),(-0.009673861187740808-0.020999268378619096j),(-0.014252260803194819-0.025235580675786667j),(-0.0008393967149724065+0.00031753496309731627j),(0.0029410872443417-0.002162842215349847j),(0.0013213773746615308+0.002474936171852555j),(0.0020449431670852653+0.0007052847322680978j),(-0.018103233817823416-0.007445134923541973j),(-0.006413645298184781-0.005644073866273587j),(0.0027624132490282473-0.006034414561815766j),(0.0010312819373023976+7.858662162909885e-05j),(-0.0018689297338116996-0.000547574678956777j),(-1.5728392210220298e-05+0.014452819303995461j),(0.0006411782543309416+0.03537896000226091j),(0.020060994560008958+0.01815832646928407j),(0.009337732266822258+0.0024253711021099333j),(0.014598377613590452+0.004273989384759221j),(0.028667236014946012-0.009650231126792811j),(0.028125523264402364-0.014283482923813198j),(0.013591023336013213-0.02972633973985819j),(0.0053803747284450806-0.0383533375766054j),(0.011346700889016997-0.03621128697444005j),(-0.008341236826441155-0.023297211053838963j),(-0.022376636739665258-0.014392116100666662j),(-0.015949509924911787+0.0021500477655513493j),(-0.016620614679273407+0.010389799192645334j),(-0.014115247047512474+0.011492510302550062j),(0.01892963184415654+0.012707696755821346j),(0.01511431609140512+0.024882890076300627j),(0.007851129516414654+0.012673400509747435j),(0.0007220565924380711+0.0322655285357525j),(0.004911823880977493+0.011753888524036223j),(-0.006803949807220497-0.02166095751921948j),(-0.0010459651996434542-0.008713021640573861j),(0.007174770358123339-0.007128530501216638j),(0.007732521339025059-0.006411620434165559j),(-0.007375013888819484-0.008065502915049531j),(-0.005856543397542202+0.005659576368216989j),(-0.0024756250846921846-0.00029718412266865397j),(0.0024140780394921184-0.015557122892410407j),(-0.0019719538093909156+0.0032835366035268727j),(-0.0013321334343227935-0.0019361409510931316j),(-0.006128373433574561-0.006725073126710073j),(-0.025303490654052244-0.005571062610550143j),(-0.018842378237728327-0.024301925023063192j),(-0.016577501374708817-0.01254279945571766j)
1,(-0.031109334864827518+0.01499340215873895j),(0.0057495177541591735+0.0032063725337476926j),(-0.005255854736355355-0.00026538408881123063j),(-0.0017773375826680884-0.0037746188450270583j),(-0.005634744217191934-0.015057192988800738j),(-0.019072908864866876-0.012033100601244791j),(-0.010095598901205477+0.008798510473215955j),(-0.003360542273948625+0.010403581310593346j),(-0.0030470162194365896+0.0009486169331359333j),(-0.011530742394788846-0.008928107034102902j),(-0.00911113211141142-0.020093689538106436j),(-0.028068274294431664-0.011802725195618284j),(-0.04177130274216054-0.014317031060036732j),(-0.035618165499117574-0.010077071842960304j),(-0.020257525353131706-0.013371515869743097j),(-0.002186568758869533-0.005060984134770274j),(0.003418160510487113+0.011898167265978808j),(-0.006836886575422422+0.004862079684077048j),(-0.00637694712949484-0.002156446247393869j),(0.004148786249693715-0.008180434583197142j),(0.017006595277845135-0.009280365458735203j),(0.014418808115134159-0.0064396627536413295j),(0.016815132470580724-0.01041275390917609j),(-0.0061988461655572685-0.02410333334805361j),(0.004480172216308647-0.01476445484021352j),(0.005666103430799275-0.033968518809195374j),(0.0024586121438596024-0.020417176626966526j),(-0.008970743678031318-0.0041793617438354285j),(-0.004469862689309362-0.0031729000609880963j),(-0.034167597489297874-0.0027333004862513544j),(-0.017800591854128193-0.004198715593089463j),(0.005222175123468465-0.0007882593045322791j),(0.01084105153939716+0.009175656818441248j),(0.0003087811184038092-0.0003233115384175786j),(-0.00408760135051558+0.010387514757569957j),(0.01079500895713801-0.0018284861234957347j),(0.008235640619497234+0.0062760345734291j),(0.0010346282810469965-0.0022678056359946666j),(0.0025382580910294876-0.008525143176829293j),(0.0010795778887690076+0.0038518619047516137j),(0.00589652800926121+0.0015219877879845479j),(0.015659704811287516-0.002661880108450646j),(-0.0005295118123442738+0.0022448046035429157j),(-0.00410579915115433-0.0022679311633436207j),(0.005725489874307392+0.01057324252716421j),(0.004613788762341266-0.00324055837474501j),(-0.0030777237342349117+0.009609900509641436j),(-0.028159608189587678+0.0016881851736876598j),(-0.016783999799360738-0.022284010013604832j),(-0.019043746619115738-0.0037935533392388925j)
2,(-0.026087667229605052-0.0012540522469028693j),(0.0016191879773600907-0.004669264738986076j),(0.0031343201666974747-0.004090059042855007j),(-0.000837529173365908+0.0012810410488451336j),(0.002894383396913058-0.007633852865981441j),(-0.0016846512667360103-0.0026273232965969597j),(-0.013386023140694637+0.010024989628044479j),(-0.014435565478950965+0.010448741955746684j),(-0.02787569515919691+0.012689085758358688j),(-0.015020547986441103-0.016480882001073668j),(-0.014136001693194143+0.0035340875447557227j),(-0.038181987755615966+0.0031483361746548655j),(-0.048289550347188896-0.023339157195008016j),(-0.05031008958324528+0.0016653171897888267j),(-0.03594915477927285-0.0014941708150157382j),(-0.02139330081431771+0.0010185526181057743j),(-0.013487387102538733+0.0026659606219360844j),(-0.014935067148824832-0.0006932412248222811j),(-0.01385006292708693+0.014242326738495733j),(-0.003952121442373145+0.013887840932260715j),(0.004688001803936721+0.018274869055343153j),(0.007121075121060612+0.0018839697695854302j),(0.014359753556865248-0.00013475013226485632j),(-0.0034215833173452804-0.013930848431979871j),(-0.0014603143219609972-0.010564981133377128j),(0.002951786648881276-0.006035508869253278j),(0.011465705659237371-0.013929492950103595j),(-0.008931607185488277+6.522299563675436e-06j),(-0.012273191319427237-0.004224318409985244j),(-0.004387896408663205-0.003931627711459118j),(-0.0008208007077564946-0.0042429819852632935j),(0.005042871729470953-0.009736511257238428j),(-0.0015920019903063398-0.002852230179429032j),(0.010202521838580753-0.002784527314187757j),(0.010808787991296583-0.009983022106307752j),(0.04990412701182813-0.0049672402644941474j),(0.018836576806631363-0.017014971436386424j),(-0.011683364653259138+0.004641425797678555j),(-0.00279980769900671+0.0044138746555365685j),(0.010265527229603387-0.003697121797783999j),(0.004535499305973501+0.0017674944748516477j),(-0.0017930458847878867-0.0019462742557365383j),(-0.00010833159697286203-0.003602392524131966j),(-0.015628575354009966-0.007012199596838287j),(-0.004446506859779662-0.007378256125622777j),(-0.006001064041655036-0.01639266398036234j),(-0.008824144049248618-0.007240684756990447j),(-0.021492501556580456-0.00802369307018847j),(-0.024310103140282955-0.006721406950892825j),(-0.022057985631503886-0.0010356580405275749j)
3,(-0.011470672359380575+0.00664072730307115j),(0.003316622364136936-0.004239308307398424j),(-0.002174150921625935+0.000530927624893892j),(-0.0026038368358369136+0.002679933624338509j),(0.011167583333042935-0.005705042545744997j),(0.00102368356151589-0.005434272577815663j),(-0.02112061912118246+0.006426848608815977j),(-0.028818575414225337+0.0016719856747234424j),(-0.01613657288395829+0.008832002241160531j),(-0.0008484459347284892+0.00027591599002403883j),(-0.02295817205348112-0.00724296332190171j),(-0.03725220626327664-0.012897241060519541j),(-0.05092225488136201-0.029896486884565584j),(-0.05146107851369447-0.011037511132377076j),(-0.013605807484335463+0.0035279384594454457j),(-0.014075769934076733-0.0014140036450986527j),(0.002740377050947114+0.0024577906767654888j),(-0.005622834228314928+0.001618845336631744j),(-0.0035144599807451194+0.01282318171562287j),(-0.004153710426073961+0.008829749814597955j),(0.0021529468300362795+0.025736579208498544j),(0.008579791866442695+0.00862814407432662j),(0.007113837524757591+0.000962806367314538j),(0.016699693460209913-0.005391885225319127j),(0.0070857082986892795-0.009822870571677992j),(0.014713405926768414-0.005442388690949242j),(0.00752928911153415-0.007791313173344827j),(-0.010924173887964794-0.001858534027160241j),(-0.008745011465284766-0.0042147488464267645j),(0.0033258282154438926-0.014824486646572007j),(0.006624732220267544-0.015706738919071195j),(0.006114176652711187-0.020921495942412327j),(0.01962821270682154-0.00842270354708241j),(0.03489504368438452+0.002143474500923959j),(0.01846501462665927-0.0025312333027673445j),(0.01645637735720175-0.008572018074045132j),(0.008982072472699798+0.0065724760762177845j),(-0.005770235421373709-0.005354258728522759j),(-0.01831164376098791-0.008777229486234165j),(0.0056030951298864365-0.00394354932184699j),(0.0073403299551312515+0.003798533127095688j),(0.006632492405472727-0.00504278502222881j),(0.004455585888538124-0.02538326510521751j),(-0.012335851760954131-0.011819876628831744j),(-0.018544453011177926-0.006025327755441009j),(-0.010252867452876726-0.015866817833126195j),(-0.013832934710123198-0.011143466085398629j),(-0.005335192381877028-0.01120994560234616j),(0.0026353344845003296-0.018732776434838214j),(-0.005773434462326476-0.0052230039401136965j)
4,(0.002817205574726423+0.006732012814003283j),(-8.915119547428722e-05+0.00253374658210689j),(-0.005676993642279012+0.007734279933520683j),(-0.008449242006927479-0.015072282290341084j),(0.0008530024357449313+0.0050595294498378815j),(-0.010973800780439533-0.0029161595283210065j),(-0.0302430688762251-0.014119740567865875j),(-0.041850203415634626-0.01407295001126672j),(-0.019025118762527105+0.00642686685520057j),(-0.003376626128654008+0.005222978211333857j),(-0.003148365325281672+0.0005753555473413623j),(-0.03843423845444208-0.032945755261994704j),(-0.04185983504316054-0.025308327538342175j),(-0.03311390056665492-0.028287983023409336j),(-0.008290357603723634-0.0004524658456361968j),(0.004319947950604372+0.0018691699313346552j),(0.009408214876935276-0.010401231992389758j),(-0.023351086210875935+0.0037680882826757614j),(0.002936215879254094+0.004518235306758617j),(0.005154185758002914+0.006860953030549223j),(0.00033750106916142385+0.01174076597355142j),(0.012863980373620479+0.01116833253079627j),(0.008259529598480506-0.010913021702784008j),(0.0071509462969553015-0.004378221153623712j),(0.00484239922579646-0.009690198085815524j),(0.007670089039996076-0.02061262561592544j),(-0.004143786267004546-0.013105908145954961j),(-0.008297898829766703-0.0142701108061385j),(0.003674029704966754-0.014844247781019766j),(0.00734939845805036-0.018947367315769462j),(0.0024314637844705467+0.00041119482108669303j),(0.00464306799824327+0.010218050671249517j),(0.015271579698713693-0.0001370182479892631j),(0.02416431663186749+0.010478019693691307j),(0.010045954551774863-0.0023696170895059505j),(0.0076786677461575985-0.006072726591522371j),(-0.0025365824166403562+0.020306353685812583j),(0.0035250939567523874+0.027788731652119064j),(-0.005336726251870716+0.003841226867874768j),(0.012086145241349825-0.015020087283452506j),(0.020818303308177362-0.028243749510760488j),(0.02678711829748869-0.034353283206964354j),(0.018797953140347087-0.025785877156765242j),(0.0014358566479866026-0.022029977981602833j),(-0.006365173067695233-0.004656483114071657j),(-0.0017961341224933536-0.01000337492637984j),(-0.003932645687566815-0.010460657541527628j),(0.002969312611590887-0.015141035684894244j),(-0.01614691232780913+0.0007582502799640053j),(-0.008170019654213908+0.013134060158463324j)
5,(0.015383395658687784+0.016572303811415248j),(0.008466376579543185-0.001009010866295473j),(-0.00642448404783155-0.0203672032473196j),(-0.025590679739041933-0.029862704959230116j),(-0.015210842772993487-0.0032274283914997303j),(-0.016552375849445477-0.01016416323270594j),(-0.030310658927490332-0.03075080290879621j),(-0.04235552830815354-0.01206300686684951j),(-0.02567090662549813-0.001239043390922852j),(-0.003490056043839506+0.006004847140886489j),(-0.0075789406304852475+0.014782354718045216j),(-0.009773524518655808+0.005462338401256857j),(-0.008392158400267235-0.01434567527607585j),(-0.014860116282231255-0.02511171841186458j),(-0.012395770764962143+0.003349875198882014j),(0.001988084157537768-0.0027247749219873854j),(0.006993098086555214+0.00300103378759035j),(-0.0005154192395862818+0.011868998050797983j),(-0.007550014793580863+0.017370136476238647j),(0.002881846592395582+0.009385203242503724j),(0.009883423329880979+0.006993207381968425j),(-0.004457503492276676+0.0040503392074526644j),(0.004676397767941066-0.00438063153840922j),(0.007035863944361535+0.0020188075041303716j),(0.021160132666717478+0.008929650961409625j),(0.014643559129718141-0.007426118698805754j),(0.011381970415978368-0.019752836073394064j),(0.01051502706739691-0.020993589745801036j),(0.007076599139268881-0.011818978720779253j),(0.004995604750171509+0.0038431113772302915j),(0.003518303321115913+0.00799757987861934j),(0.010504406513925531+0.020926402754352997j),(0.009212398479409111+0.04454281633973965j),(0.04279909673817347+0.031205548786248153j),(0.021927968019627743+0.017996565896048273j),(0.0361114287479302-0.007753032475934425j),(0.0017856481908243684-0.0045645058345239655j),(0.012030886183989785+0.021985225146495063j),(-0.00014507292747123162+0.020820023597626358j),(0.008260930313482786-0.029850872340475367j),(0.0222742098250129-0.03100711747176396j),(0.024498524489676328-0.023518423115631633j),(0.02314932042432698-0.020602625529172386j),(-0.004268115922448348-0.003509509430825365j),(0.005540750311943455-0.008575865735526565j),(0.003985514091725331-0.01447912302950784j),(0.010215610639542154-0.010291123304008056j),(0.0012597884349561477-0.00896970639234117j),(-0.015792886028774305+0.00796013703797199j),(-0.009173153190777118+0.00587360883543866j)
6,(0.021703913600599683+0.009055328402688951j),(0.013171456635898908-0.007389980767247107j),(-0.002480834448229115-0.04111765465827294j),(-0.0076400948750860375-0.030627099213120394j),(-0.0012643328911820198-0.010397823146541788j),(0.00030636513028529634-0.018851417226146975j),(0.002949369426176874-0.02764261698766881j),(-0.015548974637668841-0.01511245800083591j),(-0.021198433493245093+0.00024144579090869505j),(-0.02023983813954825+0.013450260376962578j),(-0.002958330450903957+0.021602990865820494j),(-0.016819872118731535+0.0027853272335601315j),(-0.018899156112330687+0.0010338613336134165j),(-0.008974257651419544-0.007207585935012836j),(-0.020445573377491564-0.0010799250464982291j),(-0.005036021118398029-0.000367313276161857j),(-0.0003070767061774463+0.010402781863610074j),(-1.5665464124242355e-05+0.014097514400224647j),(-0.0023330653097530006+0.02281963833121303j),(0.017831561562436888-0.0018852967109381387j),(0.017406739766042994-0.0014728369564389258j),(-0.013486538903735166+0.003438954174014417j),(-0.004423628481395226+0.001591671667141817j),(0.0013327723431080043+0.0037658494093692424j),(0.01896833742881282+0.010828495938365743j),(0.009241961023224818-0.004966860983402054j),(0.02449715528034672-0.013692916826294064j),(0.013900354202680912-0.012103893046288165j),(0.0028454135983263084+0.0035161759136319347j),(0.005755543314885563+0.004568452387661409j),(0.025860827569245542+0.013423527812319173j),(0.01565830055947896+0.009702224673220667j),(0.021519387230087072+0.0028714056940466605j),(0.04692312339327712+0.00844545165929278j),(0.07176287446999581+0.01955690519978925j),(0.07634977727650803-0.012399697384892262j),(0.035866238929709034-0.028167853624845057j),(0.009953268521749485+0.00390178666460127j),(-0.00579457647026869+0.015371914746033218j),(0.0008369754855472602-0.022482997150962237j),(0.02676278721998829-0.025116029298191647j),(0.027497694624723828-0.023252157064908047j),(-0.0014219238512243808-0.029354687629323643j),(-0.004932840913753774-0.010334603649946669j),(-0.011526617261752995-0.005121248179955366j),(-0.013077323159845864-0.021406298504890182j),(-0.009024673548588859-0.008790982947267165j),(0.003575174314139851-0.002640116769786049j),(-0.008092763362547252+0.0010887557843544133j),(0.004131488903397053+0.007953704465788919j)
7,(0.023164249853094298-0.0011444297543854699j),(0.02039402466220259-0.02092099063263382j),(0.012812635976618823-0.04379871906310662j),(0.005695711461876682-0.03686795417087341j),(0.018337703186826725-0.018454498786265445j),(0.022116615504561156-0.011084769449288476j),(0.0008947681494903985+0.0010732760778697174j),(-0.02132556423710469+0.02066817871019904j),(-0.03313047703363158+0.016815466412787753j),(-0.02680170510976997+0.0029311709108373217j),(-0.004737930563147261+0.010550084724719865j),(-0.019645658961290426+0.010769368715321723j),(-0.02842806815705963+0.0037248634590867037j),(-0.010141932146212477-0.0029392630251649132j),(-0.010546197777837663-0.006011592186883235j),(-0.005229990456834243+0.0002775258091529689j),(-0.002038067191566738-0.004432958860154117j),(0.012347207022700745-0.006329703685176844j),(0.018461868898890708-0.008209659566271489j),(0.012482320392030295+0.0006123142902476203j),(0.013402650696014614-0.00048494530487148334j),(-0.011772975204758595+0.0010070359598208086j),(-0.0036155414271819707+0.001368615254104799j),(0.0006805193318896748+0.008019200419557655j),(0.012029162835917238+0.005140125893443256j),(0.002771928895249434-0.009012707468921194j),(0.023745543845887507-0.0016958670400563152j),(0.018843869383218043-0.01164685277574509j),(0.00837765633477677-0.010014098192398202j),(0.005191334243760409-0.003615873186307053j),(0.0019455756192071037+0.00468957865021248j),(-0.0003969767093834061+0.0045144642930793595j),(0.01732481614367588+0.007474328379480873j),(0.07432075232583756+0.010182728886103054j),(0.1083035136279758+0.017718989450312823j),(0.1170364136822766+0.005024798462861439j),(0.057317306836656305-0.00529743360451005j),(0.006628913644837318+0.009245736597702066j),(0.005157523061528697-0.00220349345162243j),(0.007802317389475759-0.007828813121767262j),(0.014067778394241382-0.017274589312635976j),(0.01621788463903462-0.015186393998793513j),(-0.0025101490195721748-0.022651397049005238j),(-0.0132074194295538-0.036204122414633784j),(-0.02986675293145718-0.040296443088158135j),(-0.025542306773760345-0.02505984247651661j),(-0.009636862401814526-0.005971582757595943j),(0.004692034700979417-0.00747045867082851j),(0.0009861574831152404-0.004728375770576145j),(0.010629638073762115+0.008701733816427462j)
8,(0.008191458440562061+0.0013760583420921212j),(0.014729542285976728-0.015390537304868003j),(0.011351831349504954-0.013749513379692655j),(0.004822098788938783-0.019642785913901426j),(-0.000590630390223707-0.005617145370905255j),(-0.0008050499637006116-0.003320117148080742j),(-0.006594164790940945+0.006086230889040334j),(-0.008365749976535433+0.03717821300689535j),(-0.019857544868159778+0.04886605684316984j),(-0.0173020009074379+0.037312462839274654j),(-0.0003023169511349213+0.02967474366115107j),(-0.015528272936997517+0.028349132417915913j),(-0.020367763972390623+0.009715624281917055j),(-0.0176033244507883+0.020207288641615886j),(-0.026201496793864666+0.0063567653916113635j),(-0.01147582002388437-0.0037893827777678826j),(0.010493130270058486+0.0009926728999008296j),(0.01133561659789259-0.018363205387364336j),(0.00517630994220807-0.017302518796392868j),(-0.0024555499943403935+0.006307905660806003j),(-0.0005129565632513081+0.01771129042435723j),(-0.009315484149513628+0.0032665559775229545j),(0.0012403162765426542-0.006194329730556788j),(0.0253146177872048-0.009596668182708025j),(0.026566655285492867+0.00248704314028929j),(0.0271760462443808-0.0003779523889624396j),(0.029919647373842163-0.004117803673488537j),(0.028110002626036634-0.02791292962905924j),(0.0005083901974091998-0.008177954402785665j),(-0.0007592589789333471-0.006672715679871854j),(-0.007799276495940411+0.0011673059605089482j),(-0.0035394922910602293+0.013192736238551795j),(0.0403988863800407+0.033309744818306716j),(0.09419779278868964+0.04831846517427513j),(0.11330230479612177+0.04598321910602122j),(0.11586344292830977+0.05116351134322014j),(0.0886961517192346+0.019481588449745915j),(0.04165271803355973+0.011908803774757754j),(0.009471682081593576-0.011923496002988556j),(-0.0007899277111296192-0.006590089927940922j),(0.0029286455382336266-0.009564272569049886j),(0.0106894480254441-0.010213161079354627j),(-0.000928317702781055-0.022922430932801937j),(-0.001853583830620185-0.032661993474716516j),(-0.01126131103469459-0.04556287513270696j),(0.006993044999044199-0.04657752172869491j),(0.009442982260840426-0.012401632470508038j),(0.0036328395712590207-0.015557094783139873j),(0.007194634083219924-0.006701063150174329j),(0.0005430148734624133-0.0031521184109534438j)
9,(-0.00018924784942207917+0.011417280655563562j),(0.004411837247972975-0.0067496466981810405j),(0.003767999186824578-0.0028548167290916j),(0.008845198029576957-0.01678772294433545j),(-0.01457886524049005-0.0061234980310750755j),(-0.029262737777886298-0.009803621382437473j),(-0.01008673227691562+0.005612911105970417j),(-0.02023750791264685+0.038855676931504136j),(-0.021064331193251882+0.05037335331406229j),(-0.0020589570645664582+0.04258090445324244j),(0.0015504745796149867+0.06027763377928986j),(-0.008245343513017124+0.041536140539950264j),(-0.0089415686637781+0.020038499375326452j),(-0.022879967009719632+0.026464180045799066j),(-0.013606877837294603+0.005438174356662207j),(0.011954946613720065-0.011879855169784228j),(0.015838994957708845-0.017085191935518943j),(-0.0020936444069826025-0.022042530786565047j),(0.003330660685270927-0.005074711764073329j),(-0.012626368919398195+0.010755392317212932j),(-0.0017209694267173068+0.01636080416135013j),(-0.007517483286156296-0.002707008816129307j),(0.0011726300981360998-0.007816878942396606j),(0.0059968838645484135-0.0022351012057896104j),(0.010105907448289304-0.0005384534970802662j),(0.019751045262920434-0.0014749086989917707j),(0.012719047024746999-0.008351790678126445j),(0.02031917451231565-0.03639862328466558j),(0.011963576277529307-0.014204747389916934j),(0.011665377231703982-0.028916707488694748j),(0.012779796380189707-0.010050765685734193j),(0.014373488523136333+0.02294191202731279j),(0.02426738496392023+0.039680209681314166j),(0.05564718171144691+0.03419551553526549j),(0.08638164343189059+0.03406367566942801j),(0.08682988671731631+0.011504017381398505j),(0.05939932520835015-0.006737543886642032j),(0.02104893581612779-0.004058139735851843j),(0.003897560432127618-0.00014061414293003514j),(-6.48110647302556e-05+0.000986745521471308j),(0.006463911962874149-0.0029462013011606132j),(0.002247012785794527-0.002280376772377923j),(0.003654369870111072-0.014935298449457284j),(0.0023083447780622894-0.02082271751558667j),(0.007416920542616851-0.02555923228527275j),(0.011052584152915754-0.03778530326657275j),(0.0071114802281331555-0.010106868900973932j),(0.013941854179813614-0.00649708073724096j),(0.025325166351855513-0.004141612934831055j),(0.013985356618128528-0.007343894733247022j)
