,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,(-0.007405873105053872+0.004901001344426452j),(-0.0031347727522116437-0.001119185576115057j),(-0.0004257018533037736+0.0005185279577322682j),(-0.0002316713354009119+0.0009470365179344746j),(-0.0008488384124966691-0.004948919064789389j),(0.007136747182207331+0.0014765702642243457j),(0.0025846565003885273-0.005182680412518704j),(0.0039717165594492605-0.0011844629224294278j),(-0.0006414865874900738-0.004733051095601205j),(-0.008277726892693394+0.005010508552968598j),(-0.0009037376671708346-0.0034047223956253712j),(-0.013815330607793134+0.00290787035020775j),(-0.006606925747962767-0.0022219884103058126j),(-0.00011150839639344678-0.0002270223856242028j),(0.00013285439208782335-0.001713150909047449j),(-0.00010330512049628546+0.003307453870536364j),(0.003118036637769769+0.011103270469148737j),(0.0004432438568196862+0.002549469292418686j),(-0.003519260081257144+0.005387767296992934j),(-0.0013747998418254844+0.0026282846437652584j),(0.007445055647831495+0.007279423589523819j),(0.008291621788277987-0.0064372104545930555j),(0.0059044092091631644-0.01752282594574011j),(-0.004763013339924483-0.010023016200277958j),(0.00042536936727940154-0.0037748648949982797j),(-0.003385849240115832-0.0030396796427443616j),(-0.004598273377464065-0.0055566731364646875j),(-7.100700190773633e-05+0.00020169256249404934j),(-0.001146156114659977-0.003554504136012649j),(-0.005954414579862048-0.002972931383041003j),(-0.002156693339092248-0.000450308745169052j),(0.0012991679051252735-0.0013620640518904638j),(-0.0012051969915584614+0.016855788077129372j),(0.0263833373445018+0.015489137632840787j),(0.020606836045399615+0.009152638251554615j),(-0.0008519658550667446+0.0005550642774189263j),(-0.0023357625886253064-0.007264681768190234j),(-0.0013351213111230415-0.004609337379203986j),(0.0011881285656030346-0.002345573252179334j),(-0.000281052222361083-0.0015352127409820726j),(-0.00094046143896681-0.007119974385218602j),(-0.000273748689300209-0.002531222632061991j),(-0.001986712291795027+0.002298068880091933j),(-0.001251238459383497+0.0015088118848183727j),(-0.004701865027733964+0.0030033248453059168j),(-0.0007776704436404009+0.0023293529856712306j),(-0.0015987842317614998-0.001681915148122776j),(-0.0058128601432748525-0.001195432200665698j),(-0.01613085928317115-1.649338275532851e-05j),(-0.006711836348153778-0.0026186569866455647j)
1,(-0.0038502637771483973+0.0030223828522894743j),(0.0005799665613769147+0.0008867250389984821j),(0.003464539572810785+0.003878337057024123j),(0.0013775919710512167+0.002340363796433368j),(-0.0013122576579434832-0.005334494867966301j),(-0.003705486719748994-0.005707799201114799j),(0.001959843262806545-0.005266690727119052j),(0.0011338718899610435-0.002659213267262912j),(-0.00028210641264600587+0.00034292309741610824j),(-0.0023037811936919505+0.00043847499996372j),(-0.015524684944285029-0.0034157046302355134j),(-0.025864511998856483-0.008759037627882072j),(-0.01786245172138172+0.00253932984184784j),(-0.012089182797463103+0.0010658101696009838j),(-0.002658758762093047-0.0031633941077413652j),(-0.0022033462021643505+9.563089426264075e-05j),(0.0014340253835498514+0.0097015191157719j),(-0.004865329547774868+0.010704861994666344j),(-0.0042962271370063105+0.0013986960423373169j),(-0.005656761048313834+0.006581165227269701j),(0.005157732554310466+0.006155395870850542j),(0.008153444880985862-0.013138512675685058j),(0.0005813285731335309-0.002250632066112939j),(-0.0028726615867632724-0.014944928444367461j),(-0.0011911450513649611-0.00294415832737517j),(-0.0001400501924819759-0.0022627142937988163j),(-0.001713251568196971-0.005219940758071338j),(-0.0005924960610957194-0.0003069548594745582j),(-0.004637593634625771-0.011431107348530456j),(0.0045072183450414775+0.0040171778060288255j),(-0.000730351179480127+0.0018344613366270762j),(0.004666662577269187-0.0026933443772421397j),(0.0042980797608358386+0.008098253477805142j),(0.01802074887989487+0.004502739509761542j),(0.015116014479173477+0.0019168879147106218j),(0.004377845743939695-0.005015459914509903j),(0.0008233933001035621+0.007466944607825296j),(0.0015817778479910141-0.0004879804223277899j),(0.003270867349566099-0.0018338618166181438j),(0.00025037807735595524-0.0002530130702567405j),(-0.0010635612701157858-0.002330875741388246j),(-0.002610925341846588-0.0013507791514250547j),(-0.002502200761866954+0.003499105936503771j),(-0.005571729829470146+0.002912940920409385j),(-0.0015937862203726613+0.009558086745166835j),(4.643733548663605e-05+0.0008106227675350005j),(-0.001505878001435678-0.0012002912957478702j),(-0.011787825442390284-0.0017657825444858638j),(-0.007797449565552817+0.0021091214038787514j),(-0.014546927291217027-0.00026239793471022864j)
2,(-0.003306784509598865+0.0012161065648168198j),(0.0020867116743369016+0.0006819065190757841j),(0.002671794569471019+0.0029327667724513597j),(0.0007582251533689272+0.004232502980113732j),(0.00045123456174000137+0.00041618230312151483j),(0.0012090120491013252+0.0013972295194991668j),(-0.00028442373370348676-0.0004489295010924114j),(-0.0011158688583946471-0.0007232664342252227j),(-0.0030792197205383857+0.0013487401405507151j),(-0.010915183114907304+0.0015394058251506722j),(-0.010959654367811388-0.0058099589689025455j),(-0.02209452231792977-0.007361294798789866j),(-0.025384677846301107-0.0057155524831577105j),(-0.015528148885532438-0.0065466519408785085j),(-0.02091791526708985-0.001442227488711674j),(-0.0028405199529357847-0.008795716119345973j),(-0.012026684639469454+0.004391274410181792j),(-0.004394102784283629-0.0015766925457118372j),(-0.0041467334049499534+0.0008719979229671489j),(-0.006226456980356597+0.009123407180388425j),(-0.0009509777092935898+0.006350152517294912j),(0.01099278292391317-0.001102799060664561j),(0.0018688388355927008-0.0026075348712589325j),(0.0061544815688607795-0.013383347649882164j),(0.00044542305852743075-0.0007831335964943922j),(0.0008396943298421507+0.0003759852102152822j),(-0.0009061902175222262-0.00138705839297676j),(-0.0010157994178331075-0.0009827029243974531j),(-0.0019893156163046303-0.003925039143884372j),(-0.0009419594804731946-0.0057720292689725184j),(0.006171136758597484-0.00619665840571924j),(0.0024264196204606824-0.007238776367303545j),(0.00532875459832197-0.0017849523640932014j),(0.012210854927208628+0.0016721656600085098j),(0.016572285728574988+0.001069053189001903j),(0.0031607524829521407+0.006115973764855713j),(9.610304825268225e-06+0.003992456301309404j),(-0.0002984516578221858-0.0028375081842662983j),(0.0002073808983828314+7.483728173787462e-05j),(-0.00018457549033971894-0.0007081100168787045j),(-0.004136793514848352-0.00023667773904726736j),(-0.003270447221502499-0.002786261544919038j),(-0.0013716955840061605+6.440254425488066e-05j),(-0.005468009585200009+0.008305022292594529j),(-0.005484785928711993+0.005783048201240677j),(-0.004568397395933459-0.00046808972872363643j),(-0.003127090341159718-0.0042892574967527365j),(-0.0026047679381514233-0.0010323047196361618j),(-0.0026016170738226733+0.001311618220515995j),(-0.0032370624401777564-0.0036705706454008705j)
3,(-0.0005148857798042456-0.0024266849678150205j),(0.0025688723179380377+0.0003443595074318671j),(-0.0002796717722928037+0.008703339116509473j),(-0.007045005118670986-0.0034071098329818894j),(-0.0002599612793740816+2.2711838076938722e-05j),(0.0028551256365084736+0.005430644215594211j),(0.0018468831617821236-0.006267400693046943j),(-0.0015754411776213047+0.0008818789823729268j),(-0.0010807280872566485-0.00046396812368308915j),(-0.00828148060254857+0.004364582146851541j),(-0.004021259299246613+0.00040168796997449105j),(-0.015261413226364925-0.007605592631828083j),(0.0007414313762411914-0.00471993665593635j),(0.00040195182120502293+2.7043952616090694e-05j),(-0.00783116627875059-0.006533644511453856j),(0.0029549322923981564-0.010203996923849313j),(-0.005628526406477894-0.0005534333400642482j),(-0.0013288873523546374+0.0004538397471088516j),(0.0043859677345807+0.009058859999456954j),(-0.002898707044337423+0.0036768857477953404j),(0.00048708308794080175-0.00036742032665728036j),(0.00022148624477779874-0.00019276336885019717j),(-0.001253628661848025-0.0015296296897292475j),(-0.0011223096808724278-0.0012574362131950775j),(0.009686683215956653+0.0032608674297253852j),(0.004124635645766579+0.0023492176692453516j),(-0.0005974759956576657-0.0022835196139436324j),(0.0005334317024844453+0.0011932057213719209j),(-0.005838081058969075-0.0016483837494403381j),(-0.00038466986960948525-0.011903461768010644j),(0.010434967553331297-0.012163507492651375j),(0.006834482350443729-0.008457698669951177j),(0.005315800412803664+0.0024744036916544967j),(0.002719784398487311+0.0007972377320524535j),(0.005356104044956311-0.003985779071802529j),(0.004184437632818032-0.002305721163561111j),(0.003254228910351285+0.0037084097169092587j),(0.001447297647118361-0.002680165618479004j),(0.007062926497497939-0.0023527116954188206j),(0.005618820227879037-0.003183936697184694j),(0.005477018241729569-0.0017973750317734675j),(-5.301126896797403e-05-0.00010909962556868498j),(-0.005488184760168708+0.00033751667605405936j),(0.00162562512547221+0.0006565819062797002j),(-0.0001532381354758158+0.00022685667347519187j),(-0.0034701420167434697+0.00018388498012283824j),(-2.0838609241449776e-05+4.137142489533858e-05j),(0.0017454969726007886-0.0006281493169848362j),(0.00020963943624300943+0.0013178853967844907j),(-0.007623515433247357-0.001034365273435447j)
4,(0.0021031051120763747-0.00014546287666789435j),(0.0014317220723903804-0.00034358192194046573j),(-0.0009996564017914205+0.001587011568231895j),(-0.0007809612436250228-0.0020267404078334957j),(0.0025076183099839106+0.0015087377654550223j),(-0.004261533054875701+0.009384534043412527j),(-0.002536498528537081+0.002620038411703076j),(-0.007324662695413148+0.011236911339009675j),(-0.009607890759736126+0.007938060478136154j),(-0.005195203264147547+0.005591191805116359j),(-0.007023475805458283-0.0001347551804198868j),(-0.006732920459080447-0.016972141028743358j),(-0.013078944980091664-0.016016397648476212j),(-0.010710176231556906-0.009158250019459541j),(-0.003830902638199773-0.0017316740872257905j),(-0.0011603442258775114-0.0016858524480106727j),(0.0005564842954086862-0.002562899132016737j),(0.0025945522234175093+0.0021230029554913815j),(0.004960856525421754+0.005694086648525351j),(-0.0005055580451977374+0.005544930453681072j),(0.0023788555753742643+0.0020710040717969763j),(-0.0008849728616548893+0.0011051548298113831j),(-0.0009072956077894387+0.0005954183671490247j),(-0.0008803978934269958+0.000798772980503097j),(0.005694081287335671+0.0006092669309599807j),(-0.00014068067766884618-0.005592941005617504j),(-0.0006781312685267679-0.0009234138808323746j),(-0.00014277633055490436-0.008062977237890864j),(0.001728886314289037-0.005603400282815729j),(-0.00018862488292631455-0.008872965997234224j),(0.00482960649727434-0.007703473880294688j),(0.0004990454303634046+0.00027505103744730075j),(0.0017233549591604334-0.004509341233438361j),(0.003333666147165026+0.007116257329698496j),(0.0015625686637660418-0.0014142983731800784j),(0.0025204821421580697+0.004805661116476939j),(-0.0005705717097089131-0.0006612184833788678j),(0.0007847927054139488-0.002116012837969964j),(-0.0003392452726600354-0.0020081712407122184j),(0.0067208565168380245-0.004295598809971359j),(0.002561065006236942+0.0028202308782755247j),(0.004931029566198826-0.0006003616071546893j),(0.0003046613122632314+0.0035300698151850243j),(-0.002054264065091187-0.0030078493814449294j),(0.0006071864147572063-0.0005876953060466526j),(-0.0013588729266883516-0.003707350802303075j),(-0.0010849619929757218-0.008389610998479428j),(1.6974176593700052e-05-0.005194622300969058j),(0.001442876172551894-0.001571730855979425j),(0.0014789121734594425+0.007437455771030465j)
5,(0.002089628032545432-0.0010829264972763246j),(-0.001055087418690401-0.0014866420078715906j),(-0.0023283485873425752-0.0077723855945127955j),(0.0009281412074380889-0.004811761655097837j),(0.0016029252289165984-0.006031341975873411j),(9.176925978514202e-05-6.724379646102085e-05j),(0.0021433022451775364-0.001650372111137255j),(-0.0099213915234649+0.00017713271524895776j),(-0.004732217187331626+0.00438312180227679j),(-2.4216472519788332e-05+0.00035016662865832733j),(-0.0013065514273215152+0.0002174046962136889j),(-0.004938019702244635+0.0020980064022350173j),(-0.02263399093888132-0.018292207328597637j),(-0.014633847265490553-0.017604132236159017j),(-0.00044530112715453007-0.0033164637553651133j),(0.0006715366173138904-0.0006400481631289748j),(0.001585174906586558-0.0031295519165431018j),(-0.0038736767122268404+0.000910310979354049j),(-0.007237875813744249+0.005503700552716245j),(-0.0030800865258863957+0.0005626943662330842j),(9.85425367698812e-05-0.0001696164452216962j),(-0.006145722008730131+0.003945762026830946j),(0.0022614102123204214-0.0007842062678058638j),(0.0013854682853008738+0.0014279414680821577j),(0.00767472334443567-0.003848665908918295j),(0.0006761118715975245-8.485593785627223e-05j),(-4.395953623026418e-05+0.0023351157895179675j),(0.0021500241673361596-0.005076621907523323j),(0.0018817118051902958-0.0021673452600099574j),(0.0024420452217949287-0.005336428125118835j),(0.011681931507959148-0.0032610227611990345j),(-0.0012314337853343404+0.0012296381430532647j),(0.008960930669013307+0.005471178531102421j),(0.02666814469693183+0.007057592928749342j),(0.013009139289516535-0.006582653200397919j),(0.03947378888455197-0.004601638517074891j),(0.012945724727784652-0.0043060775610783515j),(0.0007602069517795943-0.0024796475463572994j),(6.589273538750814e-05-0.0014185905233657572j),(0.00499806903234908+0.0027918709111669636j),(0.000858344982869907-0.0006572403572904389j),(0.005604847868871459+0.001202669440280889j),(0.0070313086438482195-0.004536355267042323j),(0.0006643584230501657-0.0017967589545521859j),(0.004524567664785208+0.0015256583728000157j),(-0.003004414979248016-0.010364454038441766j),(-0.0049451701270983245-0.012375853916861131j),(0.0007420758129152205-0.0021262719899016553j),(0.0015513168043028158+0.0006391623653995855j),(0.00612670486871622+0.0035143975763535706j)
6,(0.006752642999404583-0.014074088881137325j),(0.0018855493537972593-0.00252230663941879j),(0.002877619797394977-0.0036505224708512957j),(-0.0009672002968203585+7.283920028378921e-05j),(0.0015941668004889476-0.001041186055434363j),(0.0015761706746764035+0.001167212514407616j),(-0.0007446792668647059+0.003458306037918493j),(-0.005616906348706048+0.002978777698618854j),(-0.0018590562988135514+0.0005580323799302547j),(-0.0001672040073334133-0.0015173068716087651j),(-0.0039941284855628464-0.0015601696573957309j),(-0.017209199487540367+0.001958930558851229j),(-0.013796483912517485-0.001479183513393608j),(-0.00429674332505944-0.0064854819438152625j),(-0.012508784474402249-0.0026567350451415783j),(-0.006753734833513757+0.0019911791190644437j),(-0.0057448942750880335+0.0015229593005942033j),(-0.0017428637592458707+0.0018858316069936022j),(1.5683567647491768e-05+0.00042682278111854375j),(-0.00043322830477853327-0.0011794951967488392j),(0.0001527258752875314+0.0018338444771414904j),(0.0036448884755969015-0.0026084592411204895j),(-0.0002187417584824525+0.0006222474369388937j),(0.001909917387079091+4.122772186495124e-05j),(0.012204347486705616-0.001715340941248862j),(0.001134547434085493-0.0014436483339285936j),(0.011285974724494984-0.0011773489410715828j),(0.011661790374214784+0.0040732340242425735j),(-0.0014627761417269234+3.535280130571345e-05j),(-0.006554683797244607-0.007871683486276346j),(0.008694366257275155+0.0012124260395210641j),(-0.0006463398558541524+0.00042866159344021553j),(0.01717210260681966+0.005756156225754101j),(0.036487882398646296+0.012616786572530209j),(0.040983474643499794+0.02233839586345245j),(0.06339050869371017+0.00440350141537798j),(0.04017694667165349-0.014803388646829334j),(0.009980226426678599-0.0021007706728050895j),(0.006611939913424884+0.0020718763856808517j),(0.0017844428801415237-0.0030776950638765925j),(0.017027835137291447-0.0034727450877796665j),(0.009947494811102527-0.000858305507748248j),(-0.004602759755469092-0.011619088409958277j),(-0.003042853539181098+0.0024956755634364045j),(-0.0006373683443202741+0.0030493321583039837j),(-0.006332148764211713-0.008260295769077336j),(-0.013449924953711827-0.007831218334090182j),(-0.0018897876351002482-7.730792347276615e-05j),(0.0003664862183131602-0.0020824141755949204j),(0.0058777906462683625-0.003108766364808388j)
7,(0.0006688731890998361-0.0007267275878123841j),(0.0051771966410583264-0.0020790937738309908j),(0.006660964744666986-0.008305881813267918j),(-0.0011062977991008185-0.0005065983258064463j),(0.002397183613528545+0.008787357779698258j),(-0.0013206424309264468-0.004223733210492521j),(-0.007449830318567786-0.002679085714083571j),(-0.007843010926094287-0.00525795589504828j),(-0.006931668471034711+0.005308535065295595j),(-0.004248257608607725-0.004605829154815042j),(0.00010939713321006026+0.0018169444542874484j),(-0.007741502656404435+0.011134941694595713j),(-0.0003863267220722079+0.012767269228044411j),(0.0007107721053269453-9.001851150028288e-05j),(-0.000127546636915588+0.00031272095985262094j),(-0.0001354583868122781+4.05061778726107e-05j),(0.00015260187068229117+4.664669791108343e-05j),(0.002193537240257451-0.0038099438311524304j),(0.004903815339939443-0.004794829764315414j),(-0.00035311003882887947-0.004347449159280443j),(0.003028995479236479+0.009033655447574923j),(-0.013514806129271589-0.002909227597760188j),(-0.008660647125910102-0.0024198784250048853j),(0.0009877058539458122+0.0017689413764871366j),(0.005157761866927321-0.009969019728896729j),(0.007141549943751988-0.0013604816590692388j),(0.00871942274974543-0.003961320249274758j),(0.00027567841142388504+5.9781419145012286e-05j),(0.0037209187200264314-0.005585424243530406j),(-0.0008583701781458302-0.0028258753527554098j),(0.001431941094830312+0.0036737382057451546j),(-0.0021388269905742315-0.003803897618030403j),(0.021352895174339068-0.00276758949158254j),(0.029488808784954353+0.02532590103240923j),(0.03587473177442254+0.03142815500810284j),(0.08728882126822728+0.01609290940026435j),(0.04438820856257993-0.008149525362825455j),(0.016532396397216473+0.012309315731382643j),(0.009418847919501889+0.001642807602028981j),(0.0016550397002665469-0.0039408828117861614j),(0.007141334880655432-0.006539828656267974j),(-0.004234553803071847-0.007064203554244379j),(0.00017243479686488656-0.003104690030169298j),(0.0012091019243062424-0.0017933107614172751j),(-0.012722523553158172+0.0034853527856317013j),(-0.0010260284555888527-0.0014374838506169736j),(-0.014135437099641298-0.0011843335971070497j),(-0.003992450432731664+9.96470019614634e-05j),(-0.0005913746322441064-0.0012073559714827291j),(-0.0009375515633164686-0.0006037467694487033j)
8,(0.0008035874038868705-4.011094051495692e-05j),(0.0031767220194311727+0.0028942370424667j),(-0.0004065766002825083+0.0013121512369517001j),(-0.0004886001547294124-7.155950914031773e-05j),(-0.000627510291330304+0.0031056795390641033j),(-0.0023036076225763495+0.003269857988012305j),(-0.0030497182713493088+0.0029710574902472742j),(-0.0006064057012736848+2.8118871926272138e-05j),(-0.013011831473123158+0.012853071776632105j),(-0.012285453371009263+0.017975236408719383j),(0.00283726214130678+0.005751537547974923j),(-0.012953611360205926+0.012078176045741129j),(-0.007611885946619333+0.01687504575694036j),(-0.00038969017718200154+0.006333194965091154j),(-0.0028600276435759454-0.0048115464012042685j),(0.0004005597083020124-0.0004991309638373231j),(0.006226706133433179+1.3946441494270392e-05j),(0.002130534345759495+0.001057811426641633j),(0.0014524065354040907-0.010763431771976775j),(-0.00882063622692637-0.0017951177683302802j),(-0.005987944042720882-0.004182243302300982j),(-0.0016080509884720245-0.00014098821701882786j),(-0.006213417615416684+0.0005898153269185586j),(-0.009183085466234553-0.004361959433813262j),(0.014662320853517992-0.00787336380872081j),(0.014022738405661605-0.0007498774097543311j),(0.008700139651082607+0.00370035605672008j),(0.0064009947468823105-0.006356281925852423j),(-0.0006103358347541905-0.011653405235322739j),(0.0008909759511100497+0.0007108307227154458j),(-0.00046356521548217153+0.00409855119240183j),(0.0016636502988334118-0.0053960634834621666j),(0.0076244445849937125-0.0031970881350040317j),(0.031231951738751405+0.008798304612702883j),(0.017516244900940555-0.013217106028516064j),(0.07452644280671598+0.028583170165841894j),(0.05700302777164566+0.03330057788192401j),(0.035730698960151686+0.010495330162024166j),(0.025420394601582505+0.000490289899087782j),(0.006714003301792848+0.002896770597324648j),(-0.001321237144264824-0.009670325237930521j),(-0.005343724607388038-0.009599194081454182j),(-0.00539193373056889-0.02564442738710941j),(0.008234404118262036-0.007872747021163851j),(-0.0006735512003686702-0.004923211210960459j),(9.412014682899224e-05-0.0019141548119388867j),(-0.00663002136032808+0.0005277417331027174j),(0.003231348470074131-0.007337198188432264j),(0.0009001312828283754-0.0028653821100739062j),(-0.00037731472589889916-0.004165247132425093j)
9,(0.0005522279757104988-0.001111102718082748j),(0.00023571425677828737-0.0025543406293460883j),(0.008179625255642085-0.0014833162847726685j),(0.0032057861834584186-0.004141650271998385j),(-0.0005634464675978889-0.0032319578622672855j),(-0.001085510416413586+0.000921874343642085j),(-0.004044015746674128+0.0065856190239705365j),(-0.007300686831605257+0.004010984914189204j),(-0.0013251084924688818+0.015434824268369117j),(-0.009620560576092002+0.018784032508231505j),(-0.0052952364061833405+0.03347284979971174j),(-0.008092547467645414+0.02208517226222907j),(-0.006372279600793739+0.006141815450790744j),(-0.0009244007445345536-0.00010500041648760455j),(0.0006708663635597616+0.002610756949937353j),(0.009895705306710016-0.0003737626614399863j),(0.021004283572650256+0.005763150964048666j),(0.010774416007910776+0.001614244278924472j),(0.004149101977809427+0.0011952485797926918j),(0.003386945936078243+0.003100503131323302j),(-0.00043973094176492727+0.005290075188643854j),(0.001056688537626284-0.000576728068453164j),(0.002945975631259738-0.0015432526964053723j),(-0.0002615597705674866+0.0031051471038529804j),(0.011619433127526056-0.001432994320665697j),(0.014872801727534232-0.004720937702931765j),(0.0204443864658077+0.0019448788834140133j),(0.02280853406629459-0.013531850953924618j),(-0.007234909154135325-0.010051699807207971j),(-0.001879970547465099-0.0005175538209965225j),(0.005066619761777188+0.009309656968458375j),(0.00044904501671079455-6.988642237351241e-05j),(0.006007353400611355+0.012858402569813776j),(0.018822149027131543+0.0007432808534356579j),(0.0595012854538089+0.02118965134206415j),(0.05438985660630234+4.8191706936950636e-05j),(0.03138875910095255-0.003962429069244448j),(0.02199412350962815-0.001794177010078493j),(0.008654106719031192+0.004584206621266639j),(0.0002642842864228192-6.044374394287064e-05j),(0.003454057519697721+0.0027579487261481296j),(-0.007532325430674192+0.0023620497983798936j),(0.0032613794667206483-0.007602393506400337j),(-0.0006921525438583326-0.0017100777195268849j),(0.004323556816675785-0.01210517102544082j),(-0.008995941445223843-0.023748872157312938j),(0.0003733401993196149-0.0030922259433123858j),(0.008893066928986646-0.005987549170815659j),(-0.000250526770358512-0.0005379733015227911j),(0.00021344394140140644+0.003354022467989596j)
